id	status	score	schema	table	rows	name_cols	kind	has_id	has_state	bridge_to	tags	look_for	charts	traps	hunt_trap	found	finding_ids	by	date
N:HEALTH__FQHC_SITE_PEOPLE	untouched	8.7	HEALTH	HEALTH__FQHC_SITE_PEOPLE	239265	LAST_NAME, FIRST_NAME, SITE_NAME, HEALTH_CENTER_NAME, SITE_ADDRESS	people	yes	yes		HARM PEOPLE MAP	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one SITE_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	an address match against NPPES, not a staff list; a third of rows sit on 142 hospital campus sites				
N:JUDICIARY__FED_OYEZ	untouched	8.7	JUDICIARY	JUDICIARY__FED_OYEZ	25	CASE_NAME	people	no	no	FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL, FED_USASPENDING_CONTRACTS_FULL_R2, FED_CMS_PARTD_PRESCRIBERS, FED_USASPENDING_CONTRACTS_FULL +42	HARM PEOPLE OUTCOME TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	untouched	8.6	CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_INVESTIGATIONS	154380	MFR_NAME	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	HARM OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision three-tables-not-what-they-look-like					
N:POLITICS__CA_LOBBY_EMPLOYER	untouched	8.6	POLITICS	POLITICS__CA_LOBBY_EMPLOYER	1730	EMPLOYER_NAME	organizations	no	no	FED_FCC_LICENSING, FED_GOVINFO_BILL_COSPONSORS, BILL_COSPONSORS, IRS527_DIRECTORS_OFFICERS, IRS527_8871_ORGS +145	MONEY OFFICIALS	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS	untouched	8.6	POLITICS	POLITICS__FED_SENATE_LDA_LOBBYIST_POSITIONS	140463	REGISTRANT_NAME, CLIENT_NAME, LOBBYIST_FIRST_NAME, LOBBYIST_MIDDLE_NAME, LOBBYIST_LAST_NAME	people	no	no	MEMBER_CROSSWALK, FED_CONGRESS_LEGISLATORS, FED_FEC_API, FED_FEC_INDIV_CONTRIBUTIONS, FED_USASPENDING_ASSISTANCE_FULL +42	PEOPLE OFFICIALS	who repeats: the people named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of people on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	untouched	8.5	FINANCE	FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	8191177	ORG_NAME, RECIPIENT_NAME, RECIPIENT_ADDR1, RECIPIENT_ADDR2	organizations	yes	yes		MONEY MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (EIN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch reach-is-not-a-usable-join					
N:HEALTH__FED_CMS_HCRIS	untouched	8.5	HEALTH	HEALTH__FED_CMS_HCRIS	80077	HOSPITAL_NAME, STREET_ADDRESS	organizations	yes	yes		MONEY MAP DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (CCN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:HEALTH__FED_CMS_NPPES	untouched	8.5	HEALTH	HEALTH__FED_CMS_NPPES	9606683	PROVIDER_ORGANIZATION_NAME_LEGAL_BUSINESS_NAME, PROVIDER_LAST_NAME_LEGAL_NAME, PROVIDER_FIRST_NAME, PROVIDER_MIDDLE_NAME, PROVIDER_OTHER_LAST_NAME +16	people	yes	yes		PEOPLE MAP DEMOGRAPHIC	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (EIN, NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one PROVIDER_FIRST_LINE_BUSINESS_MAILING_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch nppes-ein-column-is-empty					
N:HEALTH__FED_HHS_OIG_LEIE	untouched	8.5	HEALTH	HEALTH__FED_HHS_OIG_LEIE	83816	LAST_NAME, FIRST_NAME, MIDDLE_NAME, BUSINESS_NAME, ADDRESS	people	yes	yes		HARM PEOPLE MAP	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:POLITICS__CA_LOBBY_CHG_LOG	untouched	8.5	POLITICS	POLITICS__CA_LOBBY_CHG_LOG	85765	FILER_FULL_NAME, ENTITY_NAME	organizations	no	no	FED_FCC_LICENSING, FED_GOVINFO_BILL_COSPONSORS, BILL_COSPONSORS, IRS527_DIRECTORS_OFFICERS, IRS527_8871_ORGS +145	OFFICIALS MAP OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:POLITICS__FED_GOVINFO_BILLSTATUS	untouched	8.5	POLITICS	POLITICS__FED_GOVINFO_BILLSTATUS	107150	SPONSOR_NAME	organizations	yes	no		PEOPLE OFFICIALS OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE	untouched	8.4	CORPORATE_REGISTRY	CORPORATE_REGISTRY__INTL_UK_COMPANIES_HOUSE	5734780	COMPANY_NAME, ADDRESS_LINE_1, ADDRESS_LINE_2	organizations	yes	no		OFFICIALS MAP OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (COMPANY_NO); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one ADDRESS_LINE_1, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:ENVIRONMENT__FED_USGS_WATER	untouched	8.4	ENVIRONMENT	ENVIRONMENT__FED_USGS_WATER	6456952	SITE_NAME, PARAMETER_NAME	organizations	no	no	FED_EPA_FRS_FACILITIES, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES, FED_EPA_ECHO, FED_EPA_NPDES_ICIS_FACILITIES +145	MONEY MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:HEALTH__NURSING_HOME_RELIEF_BY_CHAIN	untouched	8.4	HEALTH	HEALTH__NURSING_HOME_RELIEF_BY_CHAIN	617	CHAIN_NAME	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES +145	MONEY HARM	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty					
N:HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT	untouched	8.4	HOUSING	HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT	61647	ORIGINATING_MORTGAGEE_NAME, SPONSOR_NAME	organizations	no	yes	FED_CFPB_HMDA_ARID2017_LEI_XREF, FED_HUD_DATA, FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES +145	MONEY MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:JUSTICE__INTL_UK_SANCTIONS_LIST	untouched	8.4	JUSTICE	JUSTICE__INTL_UK_SANCTIONS_LIST	58336	NAME_NON_LATIN_SCRIPT, PARENT_COMPANY, ADDRESS_LINE_1, ADDRESS_LINE_2, ADDRESS_LINE_3 +5	organizations	yes	no		HARM MAP DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (IMO); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one ADDRESS_LINE_1, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:JUSTICE__XC_UK_SANCTIONS_LIST	untouched	8.4	JUSTICE	JUSTICE__XC_UK_SANCTIONS_LIST	57231	NAME_PRIMARY, NAME_NON_LATIN, PARENT_COMPANY, ADDRESS_LINE_1, ADDRESS_LINE_2 +6	organizations	yes	no		HARM MAP DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (IMO); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one ADDRESS_LINE_1, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:HEALTH__ADDICTION_PRESCRIBERS_PAID	untouched	8.3	HEALTH	HEALTH__ADDICTION_PRESCRIBERS_PAID	44335	LAST_NAME, FIRST_NAME, PRESCRIBER_NAME	people	yes	yes		MONEY PEOPLE MAP	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB	untouched	8.3	LABOR	LABOR__FED_DOL_EBSA_FORM5500_SCHEDULE_SB	41802	SB_ACTUARY_NAME_LINE, SB_ACTUARY_FIRM_NAME	organizations	yes	yes		MONEY MAP DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (EIN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch reach-is-not-a-usable-join					
N:POLITICS__BILLS	untouched	8.3	POLITICS	POLITICS__BILLS	36465	SPONSOR_NAME	organizations	yes	no		PEOPLE OFFICIALS OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:ENVIRONMENT__FED_EPA_ECHO	untouched	8.2	ENVIRONMENT	ENVIRONMENT__FED_EPA_ECHO	3135554	FACILITY_NAME, STREET	organizations	yes	yes		MONEY MAP OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (FRS_ID); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join	TOTAL_PENALTIES repeats shared-case penalties per facility, reads 0 on 100,701 penalized sites, and national settlements sit on one HQ; formal-action counts cover recent years only				
N:POLITICS__CA_LOBBY_FIRM	untouched	8.2	POLITICS	POLITICS__CA_LOBBY_FIRM	256	FIRM_NAME	organizations	no	no	FED_FCC_LICENSING, FED_GOVINFO_BILL_COSPONSORS, BILL_COSPONSORS, IRS527_DIRECTORS_OFFICERS, IRS527_8871_ORGS +145	MONEY OFFICIALS	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:SCIENCE_RESEARCH__FED_NIH_REPORTER	untouched	8.2	SCIENCE_RESEARCH	SCIENCE_RESEARCH__FED_NIH_REPORTER	2122611	ORG_NAME	organizations	yes	no		MONEY OUTCOME TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (DUNS, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:ENVIRONMENT__FED_EPA_RCRA_FACILITIES	untouched	8.1	ENVIRONMENT	ENVIRONMENT__FED_EPA_RCRA_FACILITIES	1613224	FACILITY_NAME, STREET_ADDRESS	organizations	no	yes	FED_EPA_FRS_FACILITIES, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES, FED_EPA_ECHO, FED_EPA_NPDES_ICIS_FACILITIES +145	HARM MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:FINANCE__SENATE_TRADES	untouched	8.1	FINANCE	FINANCE__SENATE_TRADES	15205	SENATOR_NAME	people	yes	no		PEOPLE OFFICIALS TEXT	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:HEALTH__SAM_EXCLUDED_PROVIDERS	untouched	8.1	HEALTH	HEALTH__SAM_EXCLUDED_PROVIDERS	16144	ENTITY_NAME, FIRST_NAME, LAST_NAME, NPPES_NAME	people	yes	yes		HARM PEOPLE MAP	who repeats: the people named most often, and how many rows each :: ranked bar | already has an ID (NPI, UEI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision	not health providers; every row is already in SAM_EXCLUSIONS, NPI guessed by name				
N:POLITICS__MEMBER_SPINE	untouched	8.1	POLITICS	POLITICS__MEMBER_SPINE	12794	FULL_NAME	organizations	yes	yes		PEOPLE OFFICIALS MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:CORPORATE_REGISTRY__INTL_IE_CRO	untouched	8.0	CORPORATE_REGISTRY	CORPORATE_REGISTRY__INTL_IE_CRO	821693	COMPANY_NAME, REGISTERED_ADDRESS	organizations	no	no	FED_IRS_EO_BMF, UK_COMPANIES_HOUSE_PSC, INTL_UK_COMPANIES_HOUSE, FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY +145	MAP DEMOGRAPHIC OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one REGISTERED_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:POLITICS__SENATE_TRADES	untouched	8.0	POLITICS	POLITICS__SENATE_TRADES	8350	SPINE_NAME	organizations	yes	no		PEOPLE OFFICIALS TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision	ends 2020-12				
N:POLITICS__WHO_WON	untouched	8.0	POLITICS	POLITICS__WHO_WON	10976	SPINE_NAME	organizations	yes	yes		PEOPLE OFFICIALS MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (BIOGUIDE); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:ENVIRONMENT__FED_WQP_MONITORING_STATIONS	untouched	7.9	ENVIRONMENT	ENVIRONMENT__FED_WQP_MONITORING_STATIONS	5818	ORGANIZATION_FORMAL_NAME, MONITORING_LOCATION_NAME, HORIZONTAL_COLLECTION_METHOD_NAME, VERTICAL_COLLECTION_METHOD_NAME, AQUIFER_NAME	organizations	no	no	FED_EPA_FRS_FACILITIES, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES, FED_EPA_ECHO, FED_EPA_NPDES_ICIS_FACILITIES +145	MONEY MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:HEALTH__FED_CDC_SUICIDE_RATES	untouched	7.9	HEALTH	HEALTH__FED_CDC_SUICIDE_RATES	6390	STUB_NAME	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES +145	HARM DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:HEALTH__FED_CLINICALTRIALS	untouched	7.9	HEALTH	HEALTH__FED_CLINICALTRIALS	601694	LEAD_SPONSOR_NAME	organizations	yes	no		PEOPLE DEMOGRAPHIC OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (NPI); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision					
N:FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST	untouched	7.8	FINANCE	FINANCE__FED_NCUA_FEDERALLY_INSURED_CU_LIST	4250	CREDIT_UNION_NAME, STREET_MAILING_ADDRESS, CITY_MAILING_ADDRESS, STATE_MAILING_ADDRESS	organizations	yes	no		MONEY MAP DEMOGRAPHIC	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (NCUA_CHARTER); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_MAILING_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES	untouched	7.8	HEALTH	HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES	418479	PROVIDER_NAME, PROVIDER_ADDRESS	organizations	yes	yes		HARM MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (CCN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one PROVIDER_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision nursing-home-chow-flag-constant owner-flag-columns-exist-but-empty reach-is-not-a-usable-join					
N:HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND	untouched	7.8	HEALTH	HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND	419846	PROVIDER_NAME, NAME_KEY	organizations	no	yes	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_CMS_NURSING_HOME_DEFICIENCIES, FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES +145	MONEY MAP	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision					
N:HOSPITAL_CLOSURE_RISK	skip	7.8	FINDINGS	HOSPITAL_CLOSURE_RISK	4210	HOSPITAL_NAME	organizations	yes	yes		MONEY MAP DEMOGRAPHIC DERIVED	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (CCN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join		auto-skip at build: built on a prior hunt's output table in FINDINGS; shave its source tables instead		build	2026-09-24
N:LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	untouched	7.8	LABOR	LABOR__FED_OSHA_ITA_300A_SUMMARY_2023	394234	ESTABLISHMENT_NAME, COMPANY_NAME, STREET_ADDRESS	organizations	yes	yes		HARM MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (EIN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch reach-is-not-a-usable-join	ANNUAL_AVERAGE_EMPLOYEES has typos up to 172M; EINs typed by employers, USPS differs by year				
N:LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	untouched	7.8	LABOR	LABOR__FED_OSHA_ITA_300A_SUMMARY_2024	398620	ESTABLISHMENT_NAME, COMPANY_NAME, STREET_ADDRESS	organizations	yes	yes		HARM MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (EIN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch reach-is-not-a-usable-join	ANNUAL_AVERAGE_EMPLOYEES has typos up to 172M; EINs typed by employers, USPS differs by year				
N:LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	untouched	7.8	LABOR	LABOR__FED_OSHA_ITA_300A_SUMMARY_2025	383283	ESTABLISHMENT_NAME, COMPANY_NAME, STREET_ADDRESS	organizations	yes	yes		HARM MAP TEXT	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (EIN); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision ein-and-cik-width-mismatch reach-is-not-a-usable-join					
N:CONSUMER_SAFETY__FED_NHTSA_RECALLS	untouched	7.7	CONSUMER_SAFETY	CONSUMER_SAFETY__FED_NHTSA_RECALLS	241861	MFG_NAME	organizations	no	no	FED_DEA_ARCOS, FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY, FED_CMS_MEDICARE_DIALYSIS_FACILITIES, FED_IRS527_SCHEDULE_B_EXPENDITURES, FED_EPA_FRS_FACILITIES +145	HARM OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision three-tables-not-what-they-look-like					
N:ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES	untouched	7.7	ENVIRONMENT	ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_FACILITIES	279728	FACILITY_NAME, STREET_ADDRESS	organizations	yes	yes		HARM MAP OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | already has an ID (FRS_ID); use it, names only to check the join :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
N:ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS	untouched	7.7	ENVIRONMENT	ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS	2039	OPERATOR_NAME, OPERATOR_STREET_ADDRESS	organizations	no	yes	FED_EPA_FRS_FACILITIES, FED_EPA_FRS_FRS_PROGRAM_LINKS, FED_EPA_FRS_FRS_FACILITIES, FED_EPA_ECHO, FED_EPA_NPDES_ICIS_FACILITIES +145	HARM MAP OUTCOME	who repeats: the organizations named most often, and how many rows each :: ranked bar | no ID: bridge to an ID table of organizations on name + state, two words minimum :: overlap bar | report the agreement rate on a second field before trusting any match :: table | the web: one name across many tables, and who sits next to whom :: network | shared addresses: many different names or IDs at one OPERATOR_STREET_ADDRESS, like a P.O. box :: ranked bar | same address in another table: match on street plus ZIP, never street alone :: network	network overlap_bar ranked_bar table	crosstable-single-word-name-collision reach-is-not-a-usable-join					
