idea_id,bucket,source_ids,source_names,domain,title,idea,chart_shape,key_fields,join_key,time_axis,geo_grain,harm_angle,strength,rigor,caveat
V0175,single,fed_eia860_2_plant,FED_EIA860_2_PLANT,energy,Gas pipeline dependency network,"Network of plants to their named natural gas pipelines, showing pipelines that single-handedly supply many plants.",network,natural_gas_pipeline_name_1|natural_gas_pipeline_name_2|natural_gas_pipeline_name_3|plant_code|plant_name|state,,no,state,One pipeline failure freezing a whole state's generation is exactly how people die in a cold snap.,high,plausible-from-metadata,"Pipeline names are free text; only three slots per plant, truncating multi-pipeline plants."
V0176,single,fed_eia860_2_plant,FED_EIA860_2_PLANT,energy,Balancing authority footprint map,"Plants mapped and colored by balancing authority, showing the grid islands and who controls each.",map,balancing_authority_code|balancing_authority_name|latitude|longitude|state|nerc_region,,no,point,Grid islands with no interconnection are why one region's failure cannot be rescued by its neighbors.,medium,plausible-from-metadata,Snapshot only; interconnection capacity is not in this table.
V0177,single,fed_eia860_3_1_generator,FED_EIA860_3_1_GENERATOR,energy,Retirement cliff by fuel,"Timeline of nameplate capacity by planned retirement year and energy source, showing how much capacity is scheduled to disappear and when.",timeline,planned_retirement_year|planned_retirement_month|nameplate_capacity_mw|energy_source_1|state,,yes,state,Retirement without replacement is the setup for the blackouts that kill people in heat waves.,high,plausible-from-metadata,"Planned dates are utility intentions, not commitments; 2024 snapshot only."
V0178,single,fed_eia860_3_1_generator,FED_EIA860_3_1_GENERATOR,energy,Aging fleet by state,"Distribution of generator operating year weighted by capacity, by state, showing states running on machines built in the 1960s.",distribution,operating_year|nameplate_capacity_mw|state|technology|energy_source_1,,yes,state,"Old, brittle generation fails first in extreme weather, and the people who lose power are the ones who cannot leave.",high,plausible-from-metadata,Repowered units may still carry their original operating year.
V0179,single,fed_eia860_3_1_generator,FED_EIA860_3_1_GENERATOR,energy,Winter versus summer capacity gap,"Scatter of summer against winter capacity per generator colored by technology, exposing units that lose most of their output in the season they are needed.",scatter,summer_capacity_mw|winter_capacity_mw|nameplate_capacity_mw|technology|state,,no,state,Capacity that vanishes in a cold snap is how a grid promises power it cannot deliver when people freeze.,high,plausible-from-metadata,"Derates are reported, not measured, and some technologies legitimately differ by season."
V0180,single,fed_eia860_3_1_generator,FED_EIA860_3_1_GENERATOR,energy,Carbon capture claims versus reality,"Count and capacity of generators reporting carbon capture technology by state and fuel, showing how vanishingly small the deployed fleet actually is.",ranked bars,carbon_capture_technology|nameplate_capacity_mw|energy_source_1|state|status,,no,state,"Carbon capture is used to justify keeping a plant open next to a neighborhood, so its near-absence is a broken promise to the people breathing the exhaust.",high,plausible-from-metadata,Flag semantics unverified and may include planned rather than operating capture.
V0181,single,fed_eia860_3_1_generator,FED_EIA860_3_1_GENERATOR,energy,Fuel switching optionality,"Share of capacity able to switch between oil and gas or cofire fuels by state, showing where the grid has a fallback and where it does not.",heatmap grid,switch_between_oil_and_natural_gas|cofire_fuels|multiple_fuels|nameplate_capacity_mw|state,,no,state,No fuel flexibility means a supply disruption becomes an outage in someone's home.,medium,plausible-from-metadata,Flags unverified; balancing region would require joining the plant table.
V0182,single,fed_eia860_3_2_wind,FED_EIA860_3_2_WIND,energy,Turbine vendor market share,"Ranked bars of predominant turbine manufacturers by installed capacity and generator count, showing the handful of vendors behind the fleet.",ranked bars,predominant_turbine_manufacturer|nameplate_capacity_mw|number_of_turbines|plant_code,,no,national,Vendor concentration means one manufacturer's defect grounds a large share of the country's clean capacity.,medium,plausible-from-metadata,Manufacturer names are free text; 1563 rows and a 2024 snapshot.
V0183,single,fed_eia860_3_2_wind,FED_EIA860_3_2_WIND,energy,Wind buildout by county,"Map of wind generators by county sized by capacity and colored by operating year, showing where the buildout landed.",map,county|state|nameplate_capacity_mw|operating_year|number_of_turbines,,yes,county,Host counties absorb the noise and land use while the power and profit leave.,medium,plausible-from-metadata,No coordinates in this table so county mapping only; single-year snapshot.
V0184,single,fed_eia860_3_2_wind,FED_EIA860_3_2_WIND,energy,Turbine height and wind quality,"Scatter of hub height against design wind speed and capacity colored by wind quality class, showing how the machines got taller as the good sites ran out.",scatter,turbine_hub_height_feet|design_wind_speed_mph|wind_quality_class|nameplate_capacity_mw|operating_year,,yes,national,Taller turbines in marginal wind areas mean more visual and noise burden per unit of power for host communities.,medium,plausible-from-metadata,Height and speed fields cast unverified; wind class coding unverified.
V0185,single,fed_eia860_3_2_wind,FED_EIA860_3_2_WIND,energy,Aging wind fleet end of life,"Distribution of wind capacity by operating year and status, showing the first generation of turbines reaching end of life.",distribution,operating_year|status|nameplate_capacity_mw|state,,yes,state,Decommissioning costs land on host landowners when the developer is long gone.,medium,plausible-from-metadata,Status coding unverified; no retirement fields in this schedule.
V0186,single,fed_eia860_3_3_solar,FED_EIA860_3_3_SOLAR,energy,Where Solar Actually Got Built,"Map every solar generator as a point sized by nameplate capacity and colored by sector, so the viewer sees which states and counties got utility-scale build-out and which got nothing.",map,plant_code|generator_id|state|county|nameplate_capacity_mw|sector_name,,yes (2024 report year only),county,Counties with no build-out get none of the local tax base or cheap generation while still hosting the older dirty plants.,medium,plausible-from-metadata,"No lat/lon in this schedule -- geography is state/county text only, so mapping needs a county crosswalk."
V0187,single,fed_eia860_3_3_solar,FED_EIA860_3_3_SOLAR,energy,Net Metering Is Not For You,"Ranked bars by state of the share of solar capacity that carries a net-metering or virtual-net-metering agreement, splitting utility-scale from small distributed sectors.",ranked bars,state|net_metering_agreement|virtual_net_metering_agreement|nameplate_capacity_mw|sector_name,,no,state,Households in states where net metering is rare pay full retail and get nothing back for the power they push to the grid.,high,plausible-from-metadata,Net-metering flags may be Y/N text with blanks; unknown how many rows are populated.
V0188,single,fed_eia860_3_3_solar,FED_EIA860_3_3_SOLAR,energy,Cheap Fixed Tilt vs Tracking,"Small multiples by state showing the mix of fixed-tilt, single-axis and dual-axis tracking solar, revealing which regions get the cheaper lower-yield hardware.",small multiples,state|fixed_tilt|single_axis_tracking|dual_axis_tracking|nameplate_capacity_mw,,no,state,Cheaper fixed hardware means less generation per acre of land taken from a community.,medium,plausible-from-metadata,Tracking columns are likely mutually exclusive flags; overlap unverified.
V0189,single,fed_eia860_3_3_solar,FED_EIA860_3_3_SOLAR,energy,DC Overbuild Ratio By Owner,"Scatter of DC net capacity against AC nameplate capacity per generator, colored by utility, exposing which operators systematically overbuild panels relative to what they can deliver.",scatter,dc_net_capacity_mw|nameplate_capacity_mw|utility_name|technology,,no,none,Overbuilt DC that gets clipped is land and money burned that ratepayers ultimately fund.,wild,plausible-from-metadata,DC capacity column may be sparsely reported.
V0190,single,fed_eia860_3_3_solar,FED_EIA860_3_3_SOLAR,energy,The Solar Build Wave,"Timeline of solar capacity brought online by operating year and month, split by sector, showing the shape of the boom and any policy-driven cliffs.",timeline,operating_year|operating_month|nameplate_capacity_mw|sector_name|state,,yes (operating year back-history in a 2024 snapshot),national,Cliffs in the build curve mark moments a policy change stalled cheap power for whole regions.,medium,plausible-from-metadata,"Snapshot only contains generators still listed in 2024 -- retired projects are invisible, so early years undercount."
V0191,single,fed_eia860_3_4_energy_storage,FED_EIA860_3_4_ENERGY_STORAGE,energy,Who Gets Battery Backup,"Map of battery storage points sized by nameplate energy capacity in MWh and colored by whether the backup-power use case is flagged, showing which regions have grid resilience and which do not.",map,plant_code|state|county|nameplate_energy_capacity_mwh|backup_power|status,,no,county,Regions without storage take the blackouts when the grid is stressed.,high,plausible-from-metadata,Use-case flags may be multi-select Y/N with heavy blanks; no lat/lon in this schedule.
V0192,single,fed_eia860_3_4_energy_storage,FED_EIA860_3_4_ENERGY_STORAGE,energy,Batteries For Trading Not Reliability,"Ranked bars of storage capacity by declared use case -- arbitrage and frequency regulation versus backup power and peak shaving -- split by sector, revealing whether storage serves markets or people.",ranked bars,arbitrage|frequency_regulation|system_peak_shaving|backup_power|load_management|nameplate_capacity_mw|sector_name,,no,national,"If storage is built to trade rather than to keep lights on, ratepayers fund an asset that never protects them.",high,plausible-from-metadata,"A single unit can flag many use cases, so shares will overlap and must be read as non-exclusive."
V0193,single,fed_eia860_3_4_energy_storage,FED_EIA860_3_4_ENERGY_STORAGE,energy,Storage Duration Distribution,"Distribution of hours of storage (energy capacity divided by max discharge rate) across all units, split by storage technology, showing how much is truly multi-hour versus minutes of grid smoothing.",distribution,nameplate_energy_capacity_mwh|maximum_discharge_rate_mw|storage_technology_1|state,,no,none,Short-duration batteries sold to the public as blackout insurance cannot actually carry a household through an outage.,medium,plausible-from-metadata,"Discharge rate may be null on older units, which would drop them silently from the distribution."
V0194,single,fed_eia860_3_4_energy_storage,FED_EIA860_3_4_ENERGY_STORAGE,energy,Storage Tethered To Fossil Units,"Network graph linking storage units to the generators they directly support, colored by the supported unit type, revealing where batteries prop up existing fossil plants rather than renewables.",network,direct_support_plant_id_1|direct_support_gen_id_1|plant_code|generator_id|co_located_renewable_firming|storage_technology_1,,no,none,Storage marketed as a clean-energy asset may be extending the life of the plant polluting the neighborhood.,wild,plausible-from-metadata,Direct-support id columns are likely sparsely populated; only three support slots exist.
V0195,single,fed_eia860_3_5_multifuel,FED_EIA860_3_5_MULTIFUEL,energy,Plants That Can Switch To Oil,"Map of multi-fuel generators able to switch between gas and oil, sized by capacity and colored by how fast they can switch, showing which communities can be dosed with oil burning on short notice.",map,plant_code|state|county|switch_between_oil_and_natural_gas|time_to_switch_from_gas_to_oil|nameplate_capacity_mw,,no,county,Neighbors of a switchable plant breathe oil-burn emissions during gas price spikes with no notice or say.,high,plausible-from-metadata,Switch-time fields may be free text categories rather than numbers.
V0196,single,fed_eia860_3_5_multifuel,FED_EIA860_3_5_MULTIFUEL,energy,Air Permits As The Only Brake,"Ranked bars by state counting generators whose fuel switching is limited by air permit limits versus storage limits versus nothing at all, showing where regulation is the only thing stopping a dirtier burn.",ranked bars,state|air_permit_limits|storage_limits|other_limits|factors_that_limit_switching|nameplate_capacity_mw,,no,state,"Where no permit limit is recorded, nothing legally stops an operator from burning the dirtier fuel next to a community.",high,plausible-from-metadata,"Limit fields are likely Y/N flags; a blank may mean 'not reported' rather than 'no limit', which would invert the read."
V0197,single,fed_eia860_3_5_multifuel,FED_EIA860_3_5_MULTIFUEL,energy,Capacity Lost On The Backup Fuel,"Slope chart per generator from net summer capacity on gas to net summer capacity on oil, showing how much firm capacity quietly evaporates when the switch happens.",slope chart,net_summer_capacity_with_natural_gas_mw|net_summer_capacity_with_oil_mw|plant_name|state,,no,state,"Capacity counted as reliable in planning may not exist in the cold snap when the switch is thrown, and customers lose power.",medium,plausible-from-metadata,"Both capacity columns may be null for units that do not switch, leaving a small usable sample."
V0198,single,fed_eia860_3_5_multifuel,FED_EIA860_3_5_MULTIFUEL,energy,The Cofire Fuel Menu,"Heatmap grid of cofire energy sources against prime mover types, showing what unusual fuels get burned in what equipment across the fleet.",heatmap grid,cofire_energy_source_1|cofire_energy_source_2|cofire_energy_source_3|prime_mover|technology|state,,no,none,Waste-derived cofire fuels concentrate exotic emissions in whichever host community drew the plant.,wild,plausible-from-metadata,Six cofire slots must be unpivoted; codes are unlabeled and need an EIA fuel-code lookup.
V0199,single,fed_eia860_4_owner,FED_EIA860_4_OWNER,energy,Who Really Owns The Grid,"Network graph of owners to jointly-owned generators weighted by percent owned, revealing the small set of firms that hold slices of a huge share of national generating capacity.",network,owner_name|plant_code|generator_id|percent_owned|utility_name|state,,no,national,Concentrated hidden ownership means the same handful of firms set the terms in markets that look competitive.,high,plausible-from-metadata,"Owner names are free text with no id, so the same firm will appear under many spellings unless normalized."
V0200,single,fed_eia860_4_owner,FED_EIA860_4_OWNER,energy,Out Of State Absentee Owners,"Map flow lines from owner state to plant state weighted by owned capacity share, showing where the profits from a local plant leave the state that breathes its emissions.",flow/sankey,owner_state|state|percent_owned|plant_code|owner_name,,no,state,Communities host the pollution while the ownership income and tax base sit in another state.,high,plausible-from-metadata,"Owner state is a mailing address, which can be a registered-agent state rather than the true home of the owner."
V0201,single,fed_eia860_4_owner,FED_EIA860_4_OWNER,energy,Ownership Fragmentation By Plant,"Distribution of how many distinct owners each jointly-owned generator has, with the most-split units called out, showing where accountability for a plant is diffused across many hands.",distribution,plant_code|generator_id|ownership_id|owner_name|percent_owned,,no,none,"When a plant has a dozen part-owners, nobody is the responsible party a harmed neighbor can name.",medium,plausible-from-metadata,Grain assumed one row per plant-generator-owner per the model docs; unverified whether ownership shares sum to 100.
V0202,single,fed_eia860_4_owner,FED_EIA860_4_OWNER,energy,Owners Hiding At One Address,"Ranked bars of owner mailing addresses that host many distinct owner names, exposing shell-style clustering behind generation assets.",ranked bars,owner_street_address|owner_city|owner_state|owner_zip|owner_name|plant_code,,no,point,Shell layers between the public and a plant owner make it impossible to hold anyone to account for local harm.,wild,plausible-from-metadata,Address strings are unnormalized free text; law-firm and corporate-services addresses will produce benign false positives.
V0203,single,fed_eia860_6_1_enviroassoc,FED_EIA860_6_1_ENVIROASSOC,energy,Boiler To Generator Web,"Network graph of boilers linked to the generators they serve within each plant, showing which units share a smokestack and therefore share a pollution footprint.",network,plant_code|boiler_id|generator_id|steam_plant_type|utility_name,,no,none,"Shared boilers mean one control failure hits the emissions of several generators at once, all onto the same neighborhood.",medium,plausible-from-metadata,This is a pure bridge table with no measures -- it needs the boiler and generator tables to say anything about harm.
V0204,single,fed_eia860_6_1_enviroassoc,FED_EIA860_6_1_ENVIROASSOC,energy,Most Tangled Plants,"Ranked bars of plants by how many boiler-to-generator links they carry, surfacing the most complex sites where emissions attribution is hardest.",ranked bars,plant_code|plant_name|boiler_id|generator_id|utility_name,,no,none,Complex plants are where regulators lose the thread on which unit caused which exceedance.,medium,plausible-from-metadata,"Complexity is a proxy, not a harm measure; thin table with only seven columns."
V0205,single,fed_eia860_6_1_enviroassoc,FED_EIA860_6_1_ENVIROASSOC,energy,Steam Plant Type Mix,"Distribution of boiler-generator links by steam plant type across utilities, a plain descriptive read of what kind of thermal fleet each operator runs.",distribution,steam_plant_type|utility_name|plant_code|boiler_id,,no,none,Fleet type sets who lives with continuous versus peaking emissions.,medium,plausible-from-metadata,"Genuinely thin source -- it is a bridge, so only a few honest single-source charts exist."
V0206,single,fed_eia860_6_2_enviroequip,FED_EIA860_6_2_ENVIROEQUIP,energy,Boilers With No Mercury Control,"Map by state of boilers reporting no existing mercury control strategy, sized by count, showing where the toughest pollutant goes uncontrolled.",map,state|mercury_control_existing_strategy_1|regulation_mercury|boiler_status|plant_code|boiler_id,,no,state,Mercury from uncontrolled boilers lands in local water and food and hits children hardest.,high,plausible-from-metadata,Blank control strategy may mean 'not applicable' rather than 'none installed'; needs the regulation flag to disambiguate.
V0207,single,fed_eia860_6_2_enviroequip,FED_EIA860_6_2_ENVIROEQUIP,energy,Promised Controls That Never Came,"Dot plot per boiler comparing existing control strategies against proposed ones for sulfur and nitrogen, with the compliance year on the axis, showing controls perpetually promised for a future date.",dot plot,sulfur_dioxide_control_existing_strategy_1|sulfur_dioxide_control_proposed_strategy_1|nitrogen_oxide_control_existing_strategy_1|nitrogen_oxide_control_proposed_strategy_1|compliance_year_sulfur|compliance_year_nitrogen|plant_name,,yes (compliance years in a 2024 snapshot),state,Neighbors breathe the same air for another decade while a control that exists only on paper keeps sliding.,high,plausible-from-metadata,Single-year snapshot means we cannot see a proposal that was made and then dropped -- only what was still proposed in 2024.
V0208,single,fed_eia860_6_2_enviroequip,FED_EIA860_6_2_ENVIROEQUIP,energy,Compliance Deadlines Stacked Ahead,"Timeline histogram of compliance years for sulfur, nitrogen, particulate and mercury, showing how far into the future the fleet has pushed its obligations.",timeline,compliance_year_sulfur|compliance_year_nitrogen|compliance_year_particulate|compliance_year_mercury|state|plant_code,,yes (compliance year values),national,Every year of deferred compliance is another year of measured pollution on a real population.,high,plausible-from-metadata,Compliance year columns may hold text or sentinel values like 9999; cast behavior unverified.
V0209,single,fed_eia860_6_2_enviroequip,FED_EIA860_6_2_ENVIROEQUIP,energy,New Source Review Dodgers,"Ranked bars of utilities by share of boilers with no New Source Review permit recorded despite an active boiler status, flagging where the major permitting gate was never triggered.",ranked bars,new_source_review|new_source_review_permit|new_source_review_year|boiler_status|utility_name|plant_code,,yes (NSR month/year),state,NSR is the rule that forces modern controls when a plant is rebuilt -- skipping it locks a community into 1970s emissions.,high,plausible-from-metadata,Absence of an NSR record is not proof of avoidance; many boilers legitimately never triggered review.
V0210,single,fed_eia860_6_2_enviroequip,FED_EIA860_6_2_ENVIROEQUIP,energy,Standard Strictness By Region,"Heatmap grid of states against pollutant, colored by median permitted emission rate standard, exposing where a plant is allowed to emit several times what the same plant type may emit elsewhere.",heatmap grid,standard_sulfur_rate|standard_nitrogen_rate|standard_particulate_rate|unit_sulfur|unit_nitrogen|unit_particulate|state|type_of_boiler,,no,state,"Two identical boilers, two different legal pollution ceilings -- one community is simply worth less.",wild,plausible-from-metadata,"Rates come with separate unit and averaging-period columns, so cross-state comparison is invalid unless units are normalized first."
V0211,single,fed_eia861_advanced_meters,FED_EIA861_ADVANCED_METERS,energy,Smart Meter Haves And Have Nots,"Map by state of the share of residential meters that are advanced (AMI) versus old AMR or non-metered, showing which households are still invisible to their utility.",map,state|residential_ami_meters|residential_amr_meters|residential_non_amr_ami_meters|residential_total_meters|data_year,,yes (data_year),state,Without an advanced meter a household cannot access time-of-use savings and outages go undetected longer.,high,plausible-from-metadata,Utility-level rows aggregated to state may double count where territories overlap.
V0212,single,fed_eia861_advanced_meters,FED_EIA861_ADVANCED_METERS,energy,Business First Households Last,"Slope chart per utility from commercial and industrial AMI penetration to residential AMI penetration, showing operators that wired up their big customers and left households behind.",slope chart,commercial_ami_meters|commercial_total_meters|industrial_ami_meters|industrial_total_meters|residential_ami_meters|residential_total_meters|utility_name|ownership,,yes (data_year),state,Households pay for the meter rollout in rates but get the upgrade last.,high,plausible-from-metadata,Sector meter totals may include zeros meaning 'no such customers' rather than 'none upgraded'.
V0213,single,fed_eia861_advanced_meters,FED_EIA861_ADVANCED_METERS,energy,Smart Meters You Cannot See,Ranked bars of utilities by the gap between installed AMI meters and meters actually giving customers daily digital access to their own data.,ranked bars,total_ami_meters|total_ami_daily_digital_access_meters|total_ami_home_area_network_meters|utility_name|ownership|data_year,,yes (data_year),state,A customer billed for a smart meter that never shows them their usage cannot fight a wrong bill.,high,plausible-from-metadata,"Digital-access columns may be sparsely reported, exaggerating the gap."
V0214,single,fed_eia861_advanced_meters,FED_EIA861_ADVANCED_METERS,energy,Public Versus Investor Owned Rollout,"Distribution of AMI penetration by ownership type, showing whether municipal and cooperative utilities lag or lead investor-owned ones.",distribution,ownership|total_ami_meters|total_total_meters|state|data_year,,yes (data_year),national,Rural co-op customers may be structurally last in line for grid modernization.,medium,plausible-from-metadata,Ownership label values unverified; short-form filers may be missing meter detail entirely.
V0215,single,fed_eia861_delivery_companies,FED_EIA861_DELIVERY_COMPANIES,energy,Delivery Only Price Per MWh,"Dot plot of the seven delivery-only companies showing revenue per MWh delivered by customer class, exposing whether households pay a higher delivery rate than industry.",dot plot,utility_name|residential_revenues_thousand_dollars|residential_sales_mwh|industrial_revenues_thousand_dollars|industrial_sales_mwh|state|data_year,,yes (data_year),state,Households paying a higher per-unit delivery charge than factories are quietly cross-subsidizing them.,medium,plausible-from-metadata,"Only 7 rows -- this is a footnote-scale source, so any chart is a callout not a pattern."
V0216,single,fed_eia861_delivery_companies,FED_EIA861_DELIVERY_COMPANIES,energy,Delivery Company Customer Mix,"Ranked bars of the delivery companies by customer count split by class, a plain descriptive inventory of who these entities actually serve.",ranked bars,utility_name|residential_customers|commercial_customers|industrial_customers|total_customers|state,,yes (data_year),state,Naming who these opaque delivery-only entities serve is the first step to holding them accountable.,medium,plausible-from-metadata,"7 rows total; genuinely thin source, only two honest ideas exist."
V0217,single,fed_eia861_demand_response,FED_EIA861_DEMAND_RESPONSE,energy,Paid To Turn Off,"Scatter of customer incentives paid against actual peak demand savings delivered, one point per utility and class, showing who spends a lot for very little load reduction.",scatter,total_customer_incentives_thousand_dollars|total_actual_peak_demand_savings_mw|total_potential_peak_demand_savings_mw|utility_name|data_year|state,,yes (data_year),state,Ratepayers fund incentive programs that deliver almost no reliability benefit back to them.,high,plausible-from-metadata,Incentive dollars and savings may be reported on different bases across utilities.
V0218,single,fed_eia861_demand_response,FED_EIA861_DEMAND_RESPONSE,energy,Promise Versus Delivery Gap,"Slope chart per utility from potential peak demand savings to actual savings achieved, showing systematic overstatement of what demand response can do.",slope chart,total_potential_peak_demand_savings_mw|total_actual_peak_demand_savings_mw|utility_name|state|data_year,,yes (data_year),state,"Planners count phantom megawatts as reliability, and the shortfall shows up as a rolling blackout.",high,plausible-from-metadata,Potential and actual may be defined differently by filer; a systematic gap could be a definitional artifact.
V0219,single,fed_eia861_demand_response,FED_EIA861_DEMAND_RESPONSE,energy,Who Bears The Curtailment,Ranked bars by state of the share of demand response enrollment and delivered savings that comes from residential customers versus industrial ones.,ranked bars,residential_customers_enrolled|industrial_customers_enrolled|residential_actual_peak_demand_savings_mw|industrial_actual_peak_demand_savings_mw|state|data_year,,yes (data_year),state,"If households absorb the curtailment while industry is exempted, comfort and health risk are pushed onto the people with least choice.",high,plausible-from-metadata,Enrollment counts do not measure how often a customer was actually curtailed.
V0220,single,fed_eia861_demand_response,FED_EIA861_DEMAND_RESPONSE,energy,Water Heaters As Grid Batteries,"Timeline of grid-connected water heaters enrolled by utility, showing the quiet growth of appliances in homes that the utility can switch off remotely.",timeline,grid_connected_water_heaters|utility_name|state|data_year,,yes (data_year),state,A household can lose hot water on a cold morning because of a grid decision it never agreed to.,wild,plausible-from-metadata,Field may be very sparsely reported across filers.
V0221,single,fed_eia861_distribution_systems,FED_EIA861_DISTRIBUTION_SYSTEMS,energy,Voltage Optimization Coverage,"Ranked bars of utilities by the share of distribution circuits with voltage optimization, showing who has invested in the efficiency upgrade and who has not.",ranked bars,utility_name|distribution_circuits|circuits_with_voltage_optimization|state|data_year,,yes (data_year),state,Un-optimized circuits waste energy that customers pay for on every bill.,medium,plausible-from-metadata,Only five real columns; zero may mean not reported.
V0222,single,fed_eia861_distribution_systems,FED_EIA861_DISTRIBUTION_SYSTEMS,energy,Circuit Counts By State,"Map by state of total distribution circuits reported, a plain descriptive base layer for how big each state's distribution grid is.",map,state|distribution_circuits|utility_name|data_year,,yes (data_year),state,Circuit density is the denominator for every fair outage comparison between utilities.,medium,plausible-from-metadata,Descriptive only; no harm signal on its own.
V0223,single,fed_eia861_distribution_systems,FED_EIA861_DISTRIBUTION_SYSTEMS,energy,Optimization Adoption Over Time,"Timeline of the national share of circuits with voltage optimization by year, showing whether the upgrade is spreading or stalled.",timeline,data_year|distribution_circuits|circuits_with_voltage_optimization|state,,yes (data_year),national,A stalled upgrade curve is money left on the table that customers keep paying.,medium,plausible-from-metadata,Genuinely thin source -- three ideas is the honest ceiling with five columns.
V0224,single,fed_eia861_dynamic_pricing,FED_EIA861_DYNAMIC_PRICING,energy,Time Of Use Offered To Whom,"Heatmap grid of states against customer class colored by share of customers enrolled in any dynamic pricing program, showing who gets access to cheaper off-peak power.",heatmap grid,state|residential_customers_enrolled|commercial_customers_enrolled|industrial_customers_enrolled|total_customers_enrolled|data_year,,yes (data_year),state,Households locked out of time-of-use rates pay peak prices they had no way to avoid.,high,plausible-from-metadata,Enrollment counts lack a denominator here -- pairing with a customer-count source is needed for a true rate.
V0225,single,fed_eia861_dynamic_pricing,FED_EIA861_DYNAMIC_PRICING,energy,Critical Peak Pricing Exposure,"Ranked bars of utilities by residential critical peak pricing enrollment, isolating programs where a household can face a punishing price on the hottest day.",ranked bars,residential_critical_peak_pricing|residential_critical_peak_rebate|utility_name|state|data_year,,yes (data_year),state,Critical peak pricing on a heat wave day is a bill shock aimed at people who cannot turn off the air conditioner.,high,plausible-from-metadata,Fields may be participant counts or Y/N flags; interpretation unverified.
V0226,single,fed_eia861_dynamic_pricing,FED_EIA861_DYNAMIC_PRICING,energy,Penalty Versus Reward Programs,"Slope chart per utility comparing critical peak pricing enrollment (penalty design) against critical peak rebate enrollment (reward design), showing which operators chose the punitive structure.",slope chart,residential_critical_peak_pricing|residential_critical_peak_rebate|commercial_critical_peak_pricing|commercial_critical_peak_rebate|utility_name|data_year,,yes (data_year),state,The same behavior change is achieved by rewarding or by punishing -- utilities that punish put the cost on the customer.,high,plausible-from-metadata,Assumes rebate and pricing columns are comparable participant counts.
V0227,single,fed_eia861_dynamic_pricing,FED_EIA861_DYNAMIC_PRICING,energy,Real Time Pricing Is An Industry Perk,"Distribution of real-time pricing enrollment by customer class, showing whether the sophisticated cheapest rate structure is essentially industrial-only.",distribution,residential_real_time_pricing|commercial_real_time_pricing|industrial_real_time_pricing|transportation_real_time_pricing|state|data_year,,yes (data_year),national,The cheapest rate design in the country is reserved for the customers who need help least.,high,plausible-from-metadata,Sparse reporting could make residential look excluded when it is merely unreported.
V0228,single,fed_eia861_energy_efficiency,FED_EIA861_ENERGY_EFFICIENCY,energy,Efficiency Dollars Per MWh Saved,"Scatter of incremental customer incentive dollars against incremental energy savings by utility and class, exposing programs that spend heavily for very little saving.",scatter,total_incremental_customer_incentives_thousand_dollars|total_incremental_energy_savings_mwh|utility_name|state|data_year,,yes (data_year),state,Efficiency program costs land on every bill whether or not the program saved anyone a kilowatt hour.,high,plausible-from-metadata,Incremental versus life-cycle columns must not be mixed; both exist and mean different things.
V0229,single,fed_eia861_energy_efficiency,FED_EIA861_ENERGY_EFFICIENCY,energy,Who The Retrofits Went To,Ranked bars by state of the share of efficiency incentive dollars going to residential versus commercial and industrial customers.,ranked bars,residential_incremental_customer_incentives_thousand_dollars|commercial_incremental_customer_incentives_thousand_dollars|industrial_incremental_customer_incentives_thousand_dollars|state|data_year,,yes (data_year),state,"If households fund efficiency surcharges but industry collects the retrofits, the transfer runs upward.",high,plausible-from-metadata,"Does not capture who paid the surcharge, only who received incentives, so the transfer claim needs a rate source."
V0230,single,fed_eia861_energy_efficiency,FED_EIA861_ENERGY_EFFICIENCY,energy,Overhead Versus Customer Money,"Slope chart per utility from customer incentive spend to all-other-costs spend, showing operators whose efficiency budget goes mostly to administration rather than to customers.",slope chart,total_incremental_customer_incentives_thousand_dollars|total_incremental_all_other_costs_thousand_dollars|utility_name|state|data_year,,yes (data_year),state,Ratepayer efficiency money consumed by overhead never reaches a household's insulation or furnace.,high,plausible-from-metadata,"All-other-costs definition varies by filer and may include measure delivery, not just admin."
V0231,single,fed_eia861_energy_efficiency,FED_EIA861_ENERGY_EFFICIENCY,energy,Short Lived Savings Claims,"Distribution of weighted average measure life in years by class and utility, showing where savings are claimed on measures that will not last.",distribution,residential_weighted_average_life_years|commercial_weighted_average_life_years|industrial_weighted_average_life_years|utility_name|data_year,,yes (data_year),national,Long-life savings claims justify long-lived surcharges for equipment that dies in five years.,wild,plausible-from-metadata,Measure-life is self-reported and may be sparsely populated.
V0232,single,fed_eia861_frame,FED_EIA861_FRAME,energy,Who Files What,"Heatmap grid of utilities against the fifteen schedule flags, showing at a glance which operators file the detailed schedules and which file almost nothing.",heatmap grid,utility_number|utility_name|schedule_flag_01|schedule_flag_15|short_form|ownership|data_year,,yes (data_year),state,"Utilities that report nothing cannot be held to account for outages, rates, or emissions by anyone.",high,plausible-from-metadata,Flag semantics unverified -- a blank may mean 'not required' rather than 'declined to file'.
V0233,single,fed_eia861_frame,FED_EIA861_FRAME,energy,The Short Form Escape Hatch,"Timeline of the count and share of utilities filing the short form by ownership type, showing whether reporting burden is drifting downward over the years.",timeline,data_year|short_form|ownership|ownership_code|utility_number,,yes (data_year),national,Every utility that slides onto the short form removes its customers from the public record.,high,plausible-from-metadata,"Short-form eligibility is size-based, so growth may just reflect small new filers."
