id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
86,Political advertisers on Google,Are big-spending political advertisers avoiding official campaign finance reporting?,Would show a loophole in campaign finance transparency,not started,,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"374,229",by cycle,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/86_google_ads_no_fec
87,Registered foreign lobbyists,Do they also personally donate to U.S. political campaigns?,Foreign influence question,not started,FEC indiv is 2023-26 only,LIBRARY_RAW.LANDING.FED_FARA_BULK | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,394,012",registration window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/87_fara_agents_donating
88,People who run political nonprofits,Are the same people also treasurers of federal campaign committees?,Would show one person managing both a public and 'dark money' operation,not started,527 Schedule A/B not landed,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_DIRECTORS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"249,624",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/88_shared_treasurers
89,State-level lobbyists,Do the same people wine and dine state lawmakers and donate federally?,Would show a two-level influence operation,not started,FEC indiv is 2023-26 only,LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER | LIBRARY_MARTS.POLITICS.POLITICS__CA_LOBBY_COVER | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,980,743",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/89_state_gifts_federal_checks
9,"Factories that pollute the most, and their workers",Do the biggest polluters also pay their workers the least?,Would show a double harm on the same community,part done,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_GHGRP_FACILITY | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"3,887,442",cross-section,"Medium — partial run, needs finishing","Partially checked, weak so far",
90,"Government officials who leave for the private sector, or vice versa",Do agency contracts shift toward an official's old industry after they arrive?,"The 'revolving door' question, with real contract dollars",not started,revolving-door has no names,LIBRARY_MARTS.GOVERNANCE.GOVERNANCE__FED_REVOLVINGDOOR_PROJECT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,153,830",no dates landed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/90_appointee_sector_awards
91,Members of Congress,"Do they buy a stock, then introduce a bill that helps it?",A more specific insider-trading pattern,not started,senate trades stop 2020-12; house trade lines are PDFs; bills only 118th-119th,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_RAW.LANDING.FED_GOVINFO_BILLSTATUS | LIBRARY_RAW.LANDING.FED_GOVINFO_BILL_COSPONSORS,"412,557",90-day window,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/91_trade_then_bill
92,Congressional offices,Does office spending go to vendors who are also campaign donors?,Would show taxpayer money looping back to donors,not started,FEC indiv is 2023-26 only,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"89,086,588",by quarter,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/92_office_money_to_donors
93,Counties running elections,Do places with more rejected mail ballots overlap with high-incarceration areas?,Would connect two forms of disenfranchisement,not started,,LIBRARY_MARTS.POLITICS.POLITICS__FED_EAC_EAVS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,"164,603",survey cycles,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/93_rejected_ballots_jail
94,Federal judges,Does a judge's political leaning or donations predict how they rule?,A long-debated fairness-of-the-courts question,not started,FEC indiv is 2023-26 only,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,"95,037,994",by judge,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/94_judge_politics_vs_dockets
95,Federal judges,Do gifts or debts they report ever involve parties in their own courtroom?,Would be a direct conflict of interest,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,"54,272",disclosure years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",reports/politics_probe_2026-09-05/95_judge_gifts_vs_parties
96,Communities that opted out of flood insurance,Do they still get disaster payouts for flood damage?,Would show a gap in the insurance system,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"26,276,045",per disaster,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
97,Neighborhoods hit by disaster three or more times,Are they being rebuilt each time instead of relocated?,Would question the wisdom of repeatedly rebuilding in harm's way,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,"26,300,071",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
98,Nursing homes located near unsafe dams,Are any sitting downstream of a dam rated poor with no emergency plan?,Would be a public safety hazard nobody's tracking,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME,"107,466",last inspection,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
99,Mining companies,Do the ones with unsafe dams also have a pile of unpaid safety fines?,Would show a company ignoring safety on two fronts,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_MINES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS,"3,271,937",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A32,Banned health care companies and political donors,Do banned companies' owners also donate to political campaigns?,Would connect fraud money to political influence,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,424,187",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A33,Private equity nursing home owners,Do the worst-fined chains also run a political action committee?,Would show fined companies buying political protection,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"74,744",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A34,Members of Congress and pollution in their district,Do polluted districts get less help from their representative?,Would show political neglect of poisoned communities,not started,,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,"4,980,621",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A35,Members of Congress and their stock trades,Do members trade stock in industries their committee oversees?,This is the classic 'insider trading in Congress' question,not started,,LIBRARY_RAW.LANDING.FED_HOUSE_FD_PTR_INDEX | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"45,762",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A36,Fraud-flagged health industries and political donations,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,Would show the fox funding the henhouse,not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"870,609",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A37,People under U.S. or international sanctions,Do sanctioned individuals still show up as political donors?,Would be a serious legal and ethics violation,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.INTL_UN_CONSOLIDATED_SANCTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_UK_SANCTIONS_LIST | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,250,573",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
E69,Community health centers and government grant money,How much grant money reaches each patient?,Basic transparency question on where the money goes,part done,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO | LIBRARY_MARTS.HEALTH.HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"19,905,591",6 of 24 months,"Medium — partial run, needs finishing",Only a few months of money data currently available,
5,"Homeowners after disasters, and their mortgage lenders",Do people get worse loan terms right after a hurricane or flood?,Would show lenders profiting off disaster victims,part done,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,"71,243,587",2015-2017,Quick — re-run and check the number,"47 disasters checked, more digging needed",
126,Mortgage lenders,Do consumer complaints about them pile up before regulators catch on?,Would show early warning signs being ignored,not started,,LIBRARY_MARTS.CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF,"17,173,686",monthly,Skip — already ruled out,"no query run yet, treat any first number as unverified",
128,Home loan banks and their member banks,Were failed banks still active members right up until they collapsed?,Would question the system's early warning ability,part done,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FHFA_FHLB_MEMBERSHIP | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS,"9,911",at failure,Skip — already ruled out,"Partially checked, one piece of the puzzle is a dead end",
