id,title,question,why_it_matters,where_it_stands,needs,tables,rows,time_window,effort,watch_out,probe
103,Companies that report chemical or oil spills,Do they still win federal contracts afterward?,"Would show spillers getting rewarded, not penalized",not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,"94,350,772",same years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
104,Small aircraft owned by shell companies,Do the same addresses show up behind multiple fatal crashes?,Would show unsafe operators hiding behind shell companies,not started,,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_EVENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_NTSB_AVIATION_AIRCRAFT | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FAA_AIRCRAFT_REGISTRY,"377,918",by event,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
105,Railroad crossings,Do the same crossings get hit by trains again and again?,Would show known danger spots never getting fixed,not started,,LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CROSSING_INCIDENTS | LIBRARY_MARTS.TRANSPORT.TRANSPORT__FED_FRA_CASUALTIES,"1,401,937",2010+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
106,Counties that received huge amounts of prescription painkillers years ago,Are those same counties still struggling with opioids today?,Connects the historic pill flood to today's ongoing crisis,not started,,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"180,068,296",2006-14 vs 2024,Medium — first probe query needed,sits in the single biggest untouched dataset,
107,Drug distributors and the state lawsuits against them,Did the biggest distributors in a state match who actually got sued?,Would show whether settlements matched the actual harm done,not started,,LIBRARY_RAW.LANDING.FED_DEA_ARCOS_FULL | LIBRARY_MARTS.LEGAL_ENFORCEMENT.LEGAL_ENFORCEMENT__FED_NAAG_MULTISTATE_SETTLEMENTS,"178,598,908",2006-14 vs settlement year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
108,Surgeons paid royalties on medical devices,Were they still being paid after their device got recalled?,Would show money continuing after a product proved unsafe,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_ENFORCEMENT | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,600,368",around recall date,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
109,Medical devices approved through a faster review process,Do they have more reported deaths than devices reviewed the normal way?,Would question whether faster approval means less safe,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_MAUDE | LIBRARY_MARTS.HEALTH.HEALTH__FED_FDA_DEVICE_510K,"2,919,247",2020+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
110,Generic drugs with a sudden price spike,Do the same doctors' prescribing costs jump right along with it?,Would show someone profiting off a price spike,not started,,LIBRARY_RAW.LANDING.FED_CMS_NADAC | LIBRARY_MARTS.HEALTH.HEALTH__FED_NLM_DAILYMED_SPL_SETID_MAP | LIBRARY_RAW.LANDING.FED_CMS_PARTD_PRESCRIBER_DRUG,"27,525,898",effective dates,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
111,Native American tribal health facilities,Did their nearest full-service hospital shut down?,Would show a already-underserved population losing more care,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_FACILITIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_IHS_SCB_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"54,168",2015+,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
112,Universities and small research companies with big federal grants,Do the ones with more retracted (fake or flawed) studies keep getting funded?,Would question the return on public research money,not started,,LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_NIH_REPORTER | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_SBIR_STTR_AWARDS | LIBRARY_MARTS.SCIENCE_RESEARCH.SCIENCE_RESEARCH__FED_RETRACTION_WATCH,"2,413,705",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
113,Drugs and devices under mass lawsuit,Are companies still paying doctors to promote them?,Would show payments continuing despite known harm claims,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_JPML_PENDING_MDLS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,385,209",after MDL date,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
114,Workplaces with rising injury rates,Are they going uninspected for years at a time?,Would show safety regulators missing obvious warning signs,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_OSHA_ITA_300A_SUMMARY_2024 | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_BLS_QCEW,"9,214,469",three years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
115,Mining companies with big unpaid safety fines,Do accidents happen at their mines afterward?,Would connect ignoring fines to real harm,not started,,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_ACCIDENTS,"3,360,888",before/after,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
116,Employers who sponsor immigrant work visas,Do they pay the legal minimum wage and also rack up serious safety violations?,Would show a workforce being underpaid and put at risk,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_DOL_OFLC | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_DOL_OSHA_INSPECTIONS | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,"6,029,356",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
117,Nursing homes that got pandemic relief loans,Did the same ones get hit with health and safety fines?,Would show relief money not preventing bad care,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_PPP | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"999,129",2020-21 vs fines,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
118,Banks that make small business loans,Do the ones with the worst loan losses also have enforcement actions against them?,Would show risky lenders getting away with it,missing a piece,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SBA_LOANS | LIBRARY_RAW.LANDING.FED_FDIC_ENFORCEMENT,"2,174,516",by year,Skip — already ruled out,the enforcement dataset only has 14 records total,
119,Companies running immigration detention centers,"How much do they get paid per day, per detained person?",Basic transparency on a government spending question,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_STINTS | LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETENTION_FACILITY_CODES | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"95,726,889",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
120,Counties with lots of ICE detainer requests,Do they also have high jail populations generally?,Tests whether immigration enforcement tracks with broader incarceration,not started,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_ICE_DETAINERS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS,"738,276",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
121,People named in the Panama Papers-style offshore leaks,Are any of them U.S. doctors or political donors?,Would connect offshore secrecy to domestic money and medicine,not started,,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__FED_ICIJ_OFFSHORELEAKS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"100,328,474",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
122,People who control companies registered in the U.K.,Are any of them under U.S. or international sanctions?,Would show sanctioned people still running real companies,not started,,LIBRARY_MARTS.CORPORATE_REGISTRY.CORPORATE_REGISTRY__UK_COMPANIES_HOUSE_PSC | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_OPENSANCTIONS_DEFAULT | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN,"17,105,571",notified/ceased dates,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
123,U.S. banks and polluters with unclear corporate parents,Who's the real parent company hiding behind them?,Would unmask ownership nobody discloses,not started,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF_REPEX | LIBRARY_MARTS.ECONOMICS.ECONOMICS__INTL_GLEIF | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__XC_EPA_CORPORATE_CROSSWALK,"15,001,221",current,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
124,Wealthy nonprofit hospitals,How much do they pay their top executives?,Extends the charity-care question with executive pay,missing a piece,,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_BMF | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_990_EFILE_INDEX,"7,519,456",n/a,Skip — already ruled out,the pay data isn't in a usable format yet,
125,Political nonprofits that lost their tax status,Are they still operating and filing paperwork as if nothing happened?,Would show a compliance gap,not started,,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8871_ORGS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_IRS_AUTO_REVOCATIONS | LIBRARY_MARTS.POLITICS.POLITICS__IRS527_8872_REPORTS,"1,340,465",after revocation,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
126,Mortgage lenders,Do consumer complaints about them pile up before regulators catch on?,Would show early warning signs being ignored,not started,,LIBRARY_MARTS.CONSUMER_PROTECTION.CONSUMER_PROTECTION__FED_CFPB_COMPLAINTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_ARID2017_LEI_XREF,"17,173,686",monthly,Skip — already ruled out,"no query run yet, treat any first number as unverified",
127,Bank branches in historically redlined neighborhoods,Are banks pulling branches out of those neighborhoods over time?,Would show ongoing banking abandonment of Black and Latino areas,not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,"2,824,132",survey years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
128,Home loan banks and their member banks,Were failed banks still active members right up until they collapsed?,Would question the system's early warning ability,part done,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FHFA_FHLB_MEMBERSHIP | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS,"9,911",at failure,Skip — already ruled out,"Partially checked, one piece of the puzzle is a dead end",
129,Car makes and models,Do complaints pile up for years before an official recall happens?,Would show manufacturers slow-walking known safety issues,not started,,LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_COMPLAINTS | LIBRARY_MARTS.CONSUMER_SAFETY.CONSUMER_SAFETY__FED_NHTSA_RECALLS,"2,469,802",lag years,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
130,Subsidized apartment buildings,Are their affordability contracts expiring in fast-gentrifying areas?,Would show low-income housing about to disappear where it's needed most,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_MF_SECTION8_CONTRACTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FHFA_HPI,"209,116",2026-28,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
131,Mortgage lenders using a government-backed loan program,Do they charge higher rates in historically redlined neighborhoods?,Would extend the redlining story into today's lending,not started,,LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_FHA_SF_PORTFOLIO_SNAPSHOT | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_CFPB_HMDA_HISTORIC,"45,055,469",one month,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
132,Neighborhoods hit by disasters,Do bankruptcy filings spike in the year after?,Would show disasters pushing families into financial collapse,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_BANKRUPTCY | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"33,216,361",12 months after,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
133,Nursing home chains,Do the most-sued chains also get the most fines?,Tests if lawsuits and regulatory fines target the same bad actors,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"10,888,289",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
134,People convicted of health care fraud,Are they still allowed to work in health care because they were never formally banned?,Would show a gap between conviction and consequence,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CRIMINAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE,"6,383,655",judgment to exclusion,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
135,Hospitals hit by ransomware attacks,Does patient care quality drop afterward?,Would show cyberattacks having real medical consequences,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_RANSOMWARELIVE_VICTIMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"50,806",attack date on,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
136,Government tech vendors,Do the ones with the most known security flaws still win contracts?,Would show government still paying risky vendors,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_CISA_KEV | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,155,098",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
137,Ships owned by sanctioned entities,Are any of them showing up at U.S. ports anyway?,Would be a sanctions violation happening in plain sight,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.FED_NOAA_AIS,"58,125,631",after designation,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
138,Police departments,Do the ones involved in the most killings still get the most federal grant money?,Would question how federal funding is allocated,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_MAPPING_POLICE_VIOLENCE | LIBRARY_RAW.LANDING.FED_USASPENDING_ASSISTANCE_FULL,"19,918,355",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
139,Gun dealers,Are more dealers in an area linked to more gun deaths?,Tests a long-running gun policy question,part done,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_ATF_FFL | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FBI_NICS_CHECKS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"225,959",state level,"Medium — partial run, needs finishing","Partially checked, real signal found",
140,Owners of the most polluting power plants,Which investment funds and political donors are behind them?,Would trace pollution back to who actually profits,not started,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_EGRID_PLANT_2022 | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA860_4_OWNER | LIBRARY_RAW.LANDING.FED_SEC_13F_POSITIONS | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY,"3,886,063",2022,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
141,Power utility companies,Do the ones with the worst storm outages also charge the highest rates?,Would show customers paying more for worse service,not started,,LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_RELIABILITY | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SERVICE_TERRITORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.ENERGY.ENERGY__FED_EIA861_SALES_ULT_CUST,"1,796,291",by year,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
142,Industrial facilities,Do some have pollution spikes that never trigger a violation?,Would show gaps in pollution enforcement,not started,,LIBRARY_RAW.LANDING.FED_EPA_CAMPD_EMISSIONS_DAILY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_ICIS_AIR_ICIS_AIR_VIOLATION_HISTORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_AQS_SITES,"16,637,002",daily,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
143,Companies running clinical drug trials,Are they paying the same doctors running the trial to also promote the drug?,Would be a conflict of interest in drug testing,missing a piece,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CLINICALTRIALS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,385,547",n/a,Skip — already ruled out,the detailed trial data isn't loaded,
144,Immigration court judges,Do outcomes vary a lot by judge and detention facility?,Would show inconsistent justice depending who you get,missing a piece,,LIBRARY_MARTS.IMMIGRATION.IMMIGRATION__FED_EOIR_CASE_DATA,"12,631,225",n/a,Skip — already ruled out,the case data isn't usable yet,
A32,Banned health care companies and political donors,Do banned companies' owners also donate to political campaigns?,Would connect fraud money to political influence,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,424,187",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A33,Private equity nursing home owners,Do the worst-fined chains also run a political action committee?,Would show fined companies buying political protection,not started,,LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,"74,744",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A34,Members of Congress and pollution in their district,Do polluted districts get less help from their representative?,Would show political neglect of poisoned communities,not started,,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HOUSING.HOUSING__FED_MAPPING_INEQUALITY,"4,980,621",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A35,Members of Congress and their stock trades,Do members trade stock in industries their committee oversees?,This is the classic 'insider trading in Congress' question,not started,,LIBRARY_RAW.LANDING.FED_HOUSE_FD_PTR_INDEX | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"45,762",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A36,Fraud-flagged health industries and political donations,Do the industries caught defrauding Medicare fund the committees that oversee Medicare?,Would show the fox funding the henhouse,not started,,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,"870,609",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
A37,People under U.S. or international sanctions,Do sanctioned individuals still show up as political donors?,Would be a serious legal and ethics violation,not started,,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_OFAC_SDN | LIBRARY_RAW.LANDING.INTL_UN_CONSOLIDATED_SANCTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__INTL_UK_SANCTIONS_LIST | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,"84,250,573",untimed,Medium — first probe query needed,"no query run yet, treat any first number as unverified",
E32,Counties hit by floods,Do drinking water violations spike after a flood?,Would show disaster damage hitting the water supply,nothing there,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,"41,683,657",2015-2024,Skip — already ruled out,only true in two states,
E33,Sewage treatment plants after storms,Do they violate pollution rules more right after a storm?,Would show storms overwhelming sewage systems,found a little,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_NPDES_NPDES_QNCR_HISTORY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS,"9,732,386",quarterly,"Medium — partial run, needs finishing","Real but small, and it flips the wrong direction for related permits",
E34,Counties with hazardous waste sites,Do they have more drug overdose deaths?,Would link toxic waste to community despair,nothing there,,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOLATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY,"761,501",2003-2015,Skip — already ruled out,no real relationship found,
E35,States that decriminalized drugs,Did overdose deaths rise where jails emptied out?,Tests a real policy debate with real data,found a little,,LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"260,507",2019-2024,"Medium — partial run, needs finishing",One state (Washington) shows a strong pattern; nationally it's not clear,
E36,Counties hit by major disasters,Does overdose death rise after a disaster?,Would show disaster trauma driving addiction,nothing there,,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,"26,382,920",2019-2024,Skip — already ruled out,no pattern found,
E37,Doctors and the drug industry money they get,Does a pay raise from a drug company lead to more prescriptions?,The classic 'paid to prescribe' question,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS_2023 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"31,502,716",PY2023-24,"Medium — partial run, needs finishing",the money is mostly stock deals and consulting fees,
E38,Doctors who've opted out of Medicare,Are drug and device companies still paying them anyway?,Opting out doesn't mean stepping away from industry money,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"15,442,256",PY2023,Quick — re-run and check the number,$70.8 million paid to opted-out doctors,reports/tier1_deep_dive_2026-09-05/E38_optout_doctors_paid
E39,Nurse practitioners paid by opioid makers,Do the paid ones prescribe way more opioids than unpaid ones?,Would show money buying opioid prescriptions directly,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PART_D_PRESCRIBERS,"16,801,930",two years,Quick — re-run and check the number,paid ones prescribe opioids at a much higher rate,reports/tier1_deep_dive_2026-09-05/E39_paid_opioid_prescribers
E40,Very newly licensed doctors,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,"Would be a fast-growing, hard-to-catch fraud scheme",found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,"19,388,356",DY2024,Quick — re-run and check the number,"$1.35 billion in billing, concentrated fast",reports/tier1_deep_dive_2026-09-05/E40_new_doctors_skin_substitutes
E41,Doctors banned from Medicare,Can hospitals still legally order tests and equipment through them?,Would show a loophole letting banned doctors keep working,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_ORDER_AND_REFERRING,"2,102,101",snapshot,Quick — re-run and check the number,7 doctors doing exactly this,reports/tier1_deep_dive_2026-09-05/E41_banned_doctors_ordering
E42,Doctors who are officially dead or retired in the records,Is drug industry money still being sent to them?,Would show sloppy or fraudulent payment records,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NPPES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS,"24,991,730",PY2024,Quick — re-run and check the number,"$4.2 million, mostly to just 10 people",reports/tier1_deep_dive_2026-09-05/E42_pharma_money_dead_npis
E43,Hospitals that get sold,Were they already losing money before the sale?,Would show a pattern of dumping failing hospitals,found something,HCRIS one vintage,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"50,532",FY2022-24,Quick — re-run and check the number,60% of sold hospitals were losing money first,reports/tier1_deep_dive_2026-09-05/E43_losses_before_sale
E44,One nursing home chain (Bria) already flagged as bad,Did its safety violations get worse right before the fines hit?,Adds a timeline to an already-known bad actor,found something,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,"434,659",2023-2025,Quick — re-run and check the number,Confirmed with a clear timeline,reports/tier1_deep_dive_2026-09-05/E44_violations_before_fines
E45,Nursing homes after storms,Do safety violations spike after a storm hits the area?,Would show storms exposing nursing home neglect,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS,"2,199,209",event windows,"Medium — partial run, needs finishing",storms barely move the number,
E46,Owners who run three types of care facility at once,Are these 'triple owners' actually better or worse than others?,Tests whether bigger ownership means better or worse care,nothing there,,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,"2,274,906",snapshot,"Medium — partial run, needs finishing","Turned out to be about nonprofit vs. for-profit, not size",
E47,Rural hospitals that convert to a smaller emergency-only model,Were they already in financial trouble before converting?,Would show the conversion program catching hospitals as they fail,found something,HCRIS one vintage,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"50,532",last full year,Quick — re-run and check the number,84% were losing money first,reports/tier1_deep_dive_2026-09-05/E47_conversion_finances
E48,Hospitals that shut down,Were their financial reports already bad beforehand?,Would let regulators predict closures before they happen,found something,HCRIS one vintage,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,"50,532",2024-26,Quick — re-run and check the number,68% were already losing money,reports/tier1_deep_dive_2026-09-05/E48_closures_predicted
E49,Banned companies,Did they win government contracts specifically during their ban?,"A tighter, dated version of #15",found something,,LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,"93,321,752",timed,Quick — re-run and check the number,"Confirmed, but the dollar amount is small",reports/tier1_deep_dive_2026-09-05/E49_contracts_during_ban
