id,where_it_stands,question,tables,in_catalog,not_in_catalog,measured_joins_between_tables,join_gap,key_columns
26,part done,Does housing sit empty after a big storm instead of getting rebuilt?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,2,,,Y,ENVIRONMENT__FED_NOAA_STORM_EVENTS.EVENT_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE_FIPS | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.STATE_COUNTY_FIPS_CODE
27,found something,Are any of them already banned for past fraud?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS | LIBRARY_MARTS.HEALTH.HEALTH__FED_HHS_OIG_LEIE | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION,4,,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [49] ; HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [103] ; HEALTH__FED_HHS_OIG_LEIE.NPI = HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI [15],N,HEALTH__FED_CMS_FACILITY_AFFILIATION.CCN | HEALTH__FED_CMS_FACILITY_AFFILIATION.IND_PAC_ID | HEALTH__FED_CMS_FACILITY_AFFILIATION.NPI | HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS.NPI | HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS.NPI | HEALTH__FED_HHS_OIG_LEIE.NPI | HEALTH__FED_HHS_OIG_LEIE.ZIP
28,part done,Do homes exaggerate patient sickness to get paid more?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411 | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,3,,,Y,HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.CCN | HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.PROVIDER_NAME | HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY.ZIP_CODE | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.DEFICIENCY_TAG_NUMBER | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES.ZIP_CODE | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
29,part done,Do hospitals near the most toxic sites fail financially more often?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_TRI_FACILITY | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HCRIS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_POS_OTHER,3,,,Y,ENVIRONMENT__FED_EPA_TRI_FACILITY.EPA_REGISTRY_ID | ENVIRONMENT__FED_EPA_TRI_FACILITY.FACILITY_NAME | ENVIRONMENT__FED_EPA_TRI_FACILITY.PARENT_CO_DB_NUM | ENVIRONMENT__FED_EPA_TRI_FACILITY.STATE_COUNTY_FIPS_CODE | ENVIRONMENT__FED_EPA_TRI_FACILITY.ZIP_CODE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_PAYABLE | HEALTH__FED_CMS_HCRIS.ACCOUNTS_RECEIVABLE | HEALTH__FED_CMS_HCRIS.FISCAL_YEAR_END_DATE_KEY | HEALTH__FED_CMS_HCRIS.HOSPITAL_NAME | HEALTH__FED_CMS_HCRIS.MEDICARE_CBSA_NUMBER | HEALTH__FED_CMS_HCRIS.PROVIDER_CCN | HEALTH__FED_CMS_HCRIS.RPT_REC_NUM | HEALTH__FED_CMS_HCRIS.ZIP_CODE | HEALTH__FED_CMS_POS_OTHER.CCN | HEALTH__FED_CMS_POS_OTHER.CROSS_REF_PROVIDER_NUMBER | HEALTH__FED_CMS_POS_OTHER.FAC_NAME | HEALTH__FED_CMS_POS_OTHER.FIPS_CNTY_CD | HEALTH__FED_CMS_POS_OTHER.FIPS_STATE_CD | HEALTH__FED_CMS_POS_OTHER.ZIP_CD
30,found something,"Do new owners appear right after a home gets penalized, like a shell game?",LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME_PENALTIES,2,,,Y,HEALTH__FED_CMS_NURSING_HOME_PENALTIES.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME_PENALTIES.ZIP_CODE | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.CCN | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NPI | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.NURSING_HOME_PROVIDER_NAME | HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS.ZIP_CODE
31,found a little,Do hospital-owned home health agencies perform worse but cost more?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_HOME_HEALTH,3,,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ASSOCIATE_ID [475] ; HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ASSOCIATE_ID = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID [475] ; HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.NPI = HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI [4],N,HEALTH__FED_CMS_HOME_HEALTH.CCN | HEALTH__FED_CMS_HOME_HEALTH.PROVIDER_NAME | HEALTH__FED_CMS_HOME_HEALTH.TELEPHONE_NUMBER | HEALTH__FED_CMS_HOME_HEALTH.ZIP_CODE | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.CCN | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ENROLLMENT_ID | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.NPI | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ORGANIZATION_NAME | HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS.ZIP_CODE | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ASSOCIATE_ID | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.CCN | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.DOING_BUSINESS_AS_NAME | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.NPI | HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS.ZIP_CODE
76,not started,Do they sell their company stock right before bad news like a fine hits?,LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS | LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS | LIBRARY_MARTS.HEALTH.HEALTH__FED_NURSINGHOME411,3,,,Y,ECONOMICS__FED_SEC_EDGAR_COMPANY_TICKERS.CIK | FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER | HEALTH__FED_NURSINGHOME411.CHAIN_ID | HEALTH__FED_NURSINGHOME411.CMS_CERTIFICATION_NUMBER_CCN | HEALTH__FED_NURSINGHOME411.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY
77,not started,Do they own stock in companies whose cases they're deciding?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_INVESTMENTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_POSITIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,3,,,Y,JUSTICE__FED_COURTLISTENER_INVESTMENTS.FINANCIAL_DISCLOSURE_ID | JUSTICE__FED_COURTLISTENER_POSITIONS.COURT_ID | JUSTICE__FED_COURTLISTENER_POSITIONS.PERSON_ID | JUSTICE__FED_COURTLISTENER_POSITIONS.PREDECESSOR_ID | JUSTICE__FED_COURTLISTENER_POSITIONS.SCHOOL_ID | JUSTICE__FED_COURTLISTENER_POSITIONS.SUPERVISOR_ID | JUSTICE__FED_FJC_IDB_CIVIL.DOCKET | JUSTICE__FED_FJC_IDB_CIVIL.TRANSFER_DOCKET
78,not started,Do they trade stock in industries their own committee oversees?,LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP | LIBRARY_RAW.LANDING.FED_VOTEVIEW_ROLLCALLS,2,FED_VOTEVIEW_ROLLCALLS,,Y,POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE
79,not started,Did they quietly switch auditors right before collapsing?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FDIC_FAILED_BANKS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS | LIBRARY_MARTS.FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS,3,,,Y,FINANCE__FED_PCAOB_FORM_AP_FILINGS.ISSUER_CIK
80,not started,Do they still keep winning government contracts?,LIBRARY_MARTS.ECONOMICS.ECONOMICS__FED_FAC_SINGLE_AUDIT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_EIN | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_NAME | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_UEI | ECONOMICS__FED_FAC_SINGLE_AUDIT.AUDITEE_ZIP
81,not started,Did executives sell their own stock right before the collapse?,LIBRARY_MARTS.LABOR.LABOR__FED_PBGC_TRUSTEED_PLANS | LIBRARY_RAW.LANDING.FED_DOL_FORM5500_FULL | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_DERA_SUB_2026Q1 | LIBRARY_MARTS.FINANCE.FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS,3,FED_DOL_FORM5500_FULL,,Y,FINANCE__FED_SEC_DERA_SUB_2026Q1.CIK | FINANCE__FED_SEC_DERA_SUB_2026Q1.EIN | FINANCE__FED_SEC_INSIDER_NONDERIV_TRANS.ACCESSION_NUMBER | LABOR__FED_PBGC_TRUSTEED_PLANS.CASE_NUMBER | LABOR__FED_PBGC_TRUSTEED_PLANS.EIN
82,not started,Do unions reporting missing money also have an active political fund?,LIBRARY_MARTS.LABOR.LABOR__FED_DOL_OLMS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,2,,,Y,FINANCE__FED_FEC_COMMITTEES.CAND_ID | FINANCE__FED_FEC_COMMITTEES.CMTE_ID | LABOR__FED_DOL_OLMS.ZIP
83,not started,Does lobbying spending spike right before a new safety rule is finalized?,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_SENATE_LDA_FILINGS | LIBRARY_MARTS.REGULATORY.REGULATORY__FED_FEDERAL_REGISTER_DOCUMENTS,2,,,Y,EDUCATION__FED_SENATE_LDA_FILINGS.CLIENT_ID | EDUCATION__FED_SENATE_LDA_FILINGS.REGISTRANT_ID
84,"lit — $586.0M against, $191.4M for, congress-matched",Who's spending money for or against them in elections?,LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_CAND_CMTE_LINKAGE | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_LEGISLATORS | LIBRARY_MARTS.POLITICS.POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP,4,,FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.CAND_ID = FINANCE__FED_FEC_CAND_CMTE_LINKAGE.CAND_ID [1925],N,FINANCE__FED_FEC_CAND_CMTE_LINKAGE.CAND_ID | FINANCE__FED_FEC_CAND_CMTE_LINKAGE.CMTE_ID | FINANCE__FED_FEC_CAND_CMTE_LINKAGE.LINKAGE_ID | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.CAND_ID | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.FILE_NUM | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.IMAGE_NUM | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.PREV_FILE_NUM | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.SPE_ID | FINANCE__FED_FEC_INDEPENDENT_EXPENDITURES.TRAN_ID | POLITICS__FED_CONGRESS_COMMITTEE_MEMBERSHIP.BIOGUIDE | POLITICS__FED_CONGRESS_LEGISLATORS.BIOGUIDE | POLITICS__FED_CONGRESS_LEGISLATORS.GOOGLE_ENTITY_ID | POLITICS__FED_CONGRESS_LEGISLATORS.ICPSR
85,not started,Does it flow from their corporate PAC into top leaders' campaign funds?,LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_OPEN_PAYMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_LEADERSHIP_PAC,3,,,Y,FINANCE__FED_FEC_COMMITTEES.CAND_ID | FINANCE__FED_FEC_COMMITTEES.CMTE_ID | FINANCE__FED_FEC_LEADERSHIP_PAC.FEC_CANDIDATE_ID | FINANCE__FED_FEC_LEADERSHIP_PAC.FEC_COMMITTEE_ID | FINANCE__FED_FEC_LEADERSHIP_PAC.LINKAGE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.COVERED_RECIPIENT_PROFILE_ID | HEALTH__FED_CMS_OPEN_PAYMENTS.NPI | HEALTH__FED_CMS_OPEN_PAYMENTS.RECIPIENT_ZIP_CODE
86,not started,Are big-spending political advertisers avoiding official campaign finance reporting?,LIBRARY_MARTS.EDUCATION.EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND | LIBRARY_MARTS.POLITICS.POLITICS__FED_FEC_PAC_SUMMARY | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,3,,,Y,EDUCATION__FED_GOOGLE_POLADS_ADVERTISER_WEEKLY_SPEND.ADVERTISER_ID | POLITICS__FED_FEC_PAC_SUMMARY.CMTE_ID | POLITICS__FED_MEDSL_HOUSE_RETURNS.IS_WRITEIN | POLITICS__FED_MEDSL_HOUSE_RETURNS.STATE_FIPS
87,not started,Do they also personally donate to U.S. political campaigns?,LIBRARY_RAW.LANDING.FED_FARA_BULK | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,1,FED_FARA_BULK,,N,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE
88,not started,Are the same people also treasurers of federal campaign committees?,LIBRARY_MARTS.POLITICS.POLITICS__IRS527_DIRECTORS_OFFICERS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_COMMITTEES,2,,,Y,FINANCE__FED_FEC_COMMITTEES.CAND_ID | FINANCE__FED_FEC_COMMITTEES.CMTE_ID | POLITICS__IRS527_DIRECTORS_OFFICERS.ENTITY_NAME | POLITICS__IRS527_DIRECTORS_OFFICERS.ENTITY_ZIP | POLITICS__IRS527_DIRECTORS_OFFICERS.FORM_ID_NUMBER
89,not started,Do the same people wine and dine state lawmakers and donate federally?,LIBRARY_MARTS.POLITICS.POLITICS__TX_LOBBY_COVER | LIBRARY_MARTS.POLITICS.POLITICS__CA_LOBBY_COVER | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,3,,,Y,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE | POLITICS__CA_LOBBY_COVER.AMEND_ID | POLITICS__CA_LOBBY_COVER.FILER_ID | POLITICS__CA_LOBBY_COVER.FIRM_ID
90,not started,Do agency contracts shift toward an official's old industry after they arrive?,LIBRARY_MARTS.GOVERNANCE.GOVERNANCE__FED_REVOLVINGDOOR_PROJECT | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,
91,not started,"Do they buy a stock, then introduce a bill that helps it?",LIBRARY_MARTS.FINANCE.FINANCE__FED_SENATE_STOCK_WATCHER | LIBRARY_RAW.LANDING.FED_GOVINFO_BILLSTATUS | LIBRARY_RAW.LANDING.FED_GOVINFO_BILL_COSPONSORS,1,FED_GOVINFO_BILLSTATUS | FED_GOVINFO_BILL_COSPONSORS,,N,
92,not started,Does office spending go to vendors who are also campaign donors?,LIBRARY_RAW.LANDING.FED_HOUSE_DISBURSEMENTS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS,1,FED_HOUSE_DISBURSEMENTS,,N,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE
93,not started,Do places with more rejected mail ballots overlap with high-incarceration areas?,LIBRARY_MARTS.POLITICS.POLITICS__FED_EAC_EAVS | LIBRARY_MARTS.JUSTICE.JUSTICE__XC_VERA_INCARCERATION_TRENDS | LIBRARY_MARTS.POLITICS.POLITICS__FED_MEDSL_HOUSE_RETURNS,3,,,Y,JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_FIPS | JUSTICE__XC_VERA_INCARCERATION_TRENDS.COUNTY_NAME | JUSTICE__XC_VERA_INCARCERATION_TRENDS.STATE_FIPS | POLITICS__FED_MEDSL_HOUSE_RETURNS.IS_WRITEIN | POLITICS__FED_MEDSL_HOUSE_RETURNS.STATE_FIPS
94,not started,Does a judge's political leaning or donations predict how they rule?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS | LIBRARY_MARTS.FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_FJC_IDB_CIVIL,3,,,Y,FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.CMTE_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.OTHER_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.SUB_ID | FINANCE__FED_FEC_INDIV_CONTRIBUTIONS.ZIP_CODE | JUSTICE__FED_COURTLISTENER_JUDGE_POLITICAL_AFFILIATIONS.PERSON_ID | JUSTICE__FED_FJC_IDB_CIVIL.DOCKET | JUSTICE__FED_FJC_IDB_CIVIL.TRANSFER_DOCKET
95,not started,Do gifts or debts they report ever involve parties in their own courtroom?,LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS | LIBRARY_MARTS.JUSTICE.JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS,3,,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID [520] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID [520] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID [3247] ; JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.FINANCIAL_DISCLOSURE_ID = JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID [770],N,JUSTICE__FED_COURTLISTENER_DISCLOSURE_DEBTS.FINANCIAL_DISCLOSURE_ID | JUSTICE__FED_COURTLISTENER_DISCLOSURE_GIFTS.FINANCIAL_DISCLOSURE_ID | JUSTICE__FED_COURTLISTENER_DISCLOSURE_REIMBURSEMENTS.FINANCIAL_DISCLOSURE_ID
96,not started,Do they still get disaster payouts for flood damage?,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,2,,,Y,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
97,not started,Are they being rebuilt each time instead of relocated?,LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS | LIBRARY_MARTS.HOUSING.HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS,3,,,Y,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.NAME | HOUSING__FED_HUD_ASSISTED_HOUSING_PROJECTS.STD_ZIP5 | HOUSING__FED_USDA_RD_MFH_ACTIVE_PROJECTS.STATE_COUNTY_FIPS_CODE
98,not started,Are any sitting downstream of a dam rated poor with no emergency plan?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.HEALTH.HEALTH__FED_CMS_NURSING_HOME,2,,,Y,HEALTH__FED_CMS_NURSING_HOME.CHAIN_ID | HEALTH__FED_CMS_NURSING_HOME.PHONE_NUMBER | HEALTH__FED_CMS_NURSING_HOME.PROVIDER_NAME | HEALTH__FED_CMS_NURSING_HOME.REPORTED_LICENSED_STAFFING_HOURS_PER_RESIDENT_PER_DAY | HEALTH__FED_CMS_NURSING_HOME.ZIP_CODE
99,not started,Do the ones with unsafe dams also have a pile of unpaid safety fines?,LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_MINES | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NID_DAMS | LIBRARY_MARTS.LABOR.LABOR__FED_MSHA_VIOLATIONS,3,,LABOR__FED_MSHA_MINES.MINE_ID = LABOR__FED_MSHA_VIOLATIONS.MINE_ID [31277] ; LABOR__FED_MSHA_VIOLATIONS.MINE_ID = LABOR__FED_MSHA_MINES.MINE_ID [31277],N,LABOR__FED_MSHA_MINES.FIPS_CNTY_CD | LABOR__FED_MSHA_MINES.MINE_ID | LABOR__FED_MSHA_VIOLATIONS.CONTROLLER_ID | LABOR__FED_MSHA_VIOLATIONS.MINE_ID
100,not started,Did they spring up right after the disaster was declared?,LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,1,FED_USASPENDING_CONTRACTS_FULL_R2,,N,HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS.FIPS
101,not started,Are they still using outdated flood maps?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_NOAA_STORM_EVENTS | LIBRARY_MARTS.HOUSING.HOUSING__FED_FEMA_NFIP_COMMUNITY_STATUS_BOOK,2,,,Y,ENVIRONMENT__FED_NOAA_STORM_EVENTS.EVENT_ID | ENVIRONMENT__FED_NOAA_STORM_EVENTS.STATE_FIPS
102,not started,Do they also have the worst drinking water problems?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_PHMSA_FLAGGED_INCIDENTS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USGS_ORPHANED_OIL_GAS_WELLS | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_FRACFOCUS_REGISTRY | LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,4,,,Y,ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.FACILITY_ID | ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT.PWSID | ENVIRONMENT__FED_FRACFOCUS_REGISTRY.API_NUMBER | ENVIRONMENT__FED_FRACFOCUS_REGISTRY.DISCLOSURE_ID
103,not started,Do they still win federal contracts afterward?,LIBRARY_MARTS.ENVIRONMENT.ENVIRONMENT__FED_USCG_NRC_INCIDENTS | LIBRARY_RAW.LANDING.FED_USASPENDING_CONTRACTS_FULL_R2 | LIBRARY_MARTS.PROCUREMENT.PROCUREMENT__FED_SAM_EXCLUSIONS,2,FED_USASPENDING_CONTRACTS_FULL_R2,,Y,ENVIRONMENT__FED_USCG_NRC_INCIDENTS.RESPONSIBLE_COMPANY | ENVIRONMENT__FED_USCG_NRC_INCIDENTS.RESPONSIBLE_ZIP | ENVIRONMENT__FED_USCG_NRC_INCIDENTS.SEQNOS | PROCUREMENT__FED_SAM_EXCLUSIONS.ENTITY_NAME | PROCUREMENT__FED_SAM_EXCLUSIONS.EXCLUDING_AGENCY | PROCUREMENT__FED_SAM_EXCLUSIONS.NPI | PROCUREMENT__FED_SAM_EXCLUSIONS.SAM_NUMBER | PROCUREMENT__FED_SAM_EXCLUSIONS.UEI | PROCUREMENT__FED_SAM_EXCLUSIONS.ZIP
