id,subject,tier,title,question,why_it_matters,tables,joins_on,visual,status,matches,notes,needs,watch_out,probe,rows,time_window,effort
v1-E38,HEALTH,walk,Doctors who've opted out of Medicare,Are drug and device companies still paying them anyway?,Opting out doesn't mean stepping away from industry money,HEALTH__FED_CMS_OPT_OUT_AFFIDAVITS|HEALTH__FED_CMS_OPEN_PAYMENTS,,,found something,v2-Doctors who quit Medicare,,,$70.8 million paid to opted-out doctors,reports/tier1_deep_dive_2026-09-05/E38_optout_doctors_paid,"15,442,256",PY2023,Quick — re-run and check the number
v1-E39,HEALTH,walk,Nurse practitioners paid by opioid makers,Do the paid ones prescribe way more opioids than unpaid ones?,Would show money buying opioid prescriptions directly,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS,,,found something,v2-Opioid makers and opioid prescribers,,,paid ones prescribe opioids at a much higher rate,reports/tier1_deep_dive_2026-09-05/E39_paid_opioid_prescribers,"16,801,930",two years,Quick — re-run and check the number
v1-E40,HEALTH,walk,Very newly licensed doctors,Are brand-new doctors billing Medicare for millions in expensive wound-care products?,"Would be a fast-growing, hard-to-catch fraud scheme",HEALTH__FED_CMS_NPPES|HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI,,,found something,,,,"$1.35 billion in billing, concentrated fast",reports/tier1_deep_dive_2026-09-05/E40_new_doctors_skin_substitutes,"19,388,356",DY2024,Quick — re-run and check the number
v1-E41,HEALTH,walk,Doctors banned from Medicare,Can hospitals still legally order tests and equipment through them?,Would show a loophole letting banned doctors keep working,HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_ORDER_AND_REFERRING,,,found something,v2-Where banned providers were practicing,,,7 doctors doing exactly this,reports/tier1_deep_dive_2026-09-05/E41_banned_doctors_ordering,"2,102,101",snapshot,Quick — re-run and check the number
v1-E42,HEALTH,walk,Doctors who are officially dead or retired in the records,Is drug industry money still being sent to them?,Would show sloppy or fraudulent payment records,HEALTH__FED_CMS_NPPES|HEALTH__FED_CMS_OPEN_PAYMENTS,,,found something,v2-Doctors who quit Medicare,,,"$4.2 million, mostly to just 10 people",reports/tier1_deep_dive_2026-09-05/E42_pharma_money_dead_npis,"24,991,730",PY2024,Quick — re-run and check the number
v1-E43,HEALTH,walk,Hospitals that get sold,Were they already losing money before the sale?,Would show a pattern of dumping failing hospitals,HEALTH__FED_CMS_HCRIS|HEALTH__FED_CMS_POS_OTHER,,,found something,v2-Facilities in many programs,,"HCRIS now 13 years; 1,322 hospitals changed ownership type",60% of sold hospitals were losing money first,reports/tier1_deep_dive_2026-09-05/E43_losses_before_sale,"50,532",FY2022-24,Quick — re-run and check the number
v1-E44,HEALTH,walk,One nursing home chain (Bria) already flagged as bad,Did its safety violations get worse right before the fines hit?,Adds a timeline to an already-known bad actor,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_PENALTIES,,,found something,v2-Nursing home chain scorecard,,,Confirmed with a clear timeline,reports/tier1_deep_dive_2026-09-05/E44_violations_before_fines,"434,659",2023-2025,Quick — re-run and check the number
v1-E45,HEALTH,walk,Nursing homes after storms,Do safety violations spike after a storm hits the area?,Would show storms exposing nursing home neglect,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|ENVIRONMENT__FED_NOAA_STORM_EVENTS,,,nothing there,,,,storms barely move the number,,"2,199,209",event windows,"Medium — partial run, needs finishing"
v1-E46,HEALTH,walk,Owners who run three types of care facility at once,Are these 'triple owners' actually better or worse than others?,Tests whether bigger ownership means better or worse care,HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_NURSINGHOME411,,,nothing there,,,,"Turned out to be about nonprofit vs. for-profit, not size",,"2,274,906",snapshot,"Medium — partial run, needs finishing"
v1-E47,HEALTH,walk,Rural hospitals that convert to a smaller emergency-only model,Were they already in financial trouble before converting?,Would show the conversion program catching hospitals as they fail,HEALTH__FED_CMS_HCRIS|HEALTH__FED_CMS_POS_OTHER,,,found something,v2-Facilities in many programs,,"HCRIS now 13 years, 2011-2023",84% were losing money first,reports/tier1_deep_dive_2026-09-05/E47_conversion_finances,"50,532",last full year,Quick — re-run and check the number
v1-E48,HEALTH,walk,Hospitals that shut down,Were their financial reports already bad beforehand?,Would let regulators predict closures before they happen,HEALTH__FED_CMS_HCRIS|HEALTH__FED_CMS_POS_OTHER,,,found something,v2-Hospital profit margin against charity care,,HCRIS now 13 years; 65 to 108 hospitals stop filing a year,68% were already losing money,reports/tier1_deep_dive_2026-09-05/E48_closures_predicted,"50,532",2024-26,Quick — re-run and check the number
v1-E50,HEALTH,walk,Areas hit by disasters,"Do new health care businesses pop up right after, chasing relief money?",Would show opportunists rushing in after disasters,HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS|HOUSING__FED_FEMA_IA_HOUSING_REGISTRATIONS,,,nothing there,,,,the boom already existed before the disaster,,"26,262,428",DiD,Skip — already ruled out
v1-E51,HEALTH,walk,Areas newly labeled as short on doctors,Does that label actually bring in more clinics?,Tests if a government designation does what it claims,HEALTH__FED_HRSA_HPSA_PRIMARY_CARE|HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES,,,found a little,,,,"Unclear, could go either way",,"98,196",DiD,"Medium — partial run, needs finishing"
v1-E52,HEALTH,walk,Counties with high jail populations,"Do wages, suicide, and overdose rates all get worse there?",Tests a broad 'incarceration damages a whole county' theory,JUSTICE__XC_VERA_INCARCERATION_TRENDS|ECONOMICS__FED_BLS_QCEW|HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY,,,found a little,v2-Jail rate against injury deaths,,,mostly just wages showed a real effect,,"3,879,944",one year wage,"Medium — partial run, needs finishing"
v1-E56,HEALTH,walk,Doctors getting Medicare bonuses,Do bonus and non-bonus doctors get similar industry money?,A stricter version of #19,HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE|HEALTH__FED_CMS_OPEN_PAYMENTS,,,nothing there,,,,No difference found,,"15,888,964",PY2024,"Medium — partial run, needs finishing"
v1-E57,HEALTH,walk,Doctors who bill Medicare the most,Are they also the ones industry pays the most?,Volume and money moving together is a red flag,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_CMS_OPEN_PAYMENTS,,,found something,v2-Medicare billing against pharma payments,,,"a real, meaningful overlap",reports/tier1_deep_dive_2026-09-05/E57_volume_and_money,"16,681,786",DY2024,Quick — re-run and check the number
v1-E58,HEALTH,walk,U.S. states,Do states with more malpractice payouts also get more industry money?,Tests a state-level backdrop theory,HEALTH__FED_HRSA_NPDB|HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE|HEALTH__FED_CMS_OPEN_PAYMENTS_2023,,,nothing there,,,,the comparison method itself was flawed,,"17,115,888",2022-24,Skip — already ruled out
v1-E59,HEALTH,walk,The highest-paid hospitals,Do they have the worst quality ratings?,Would show money not buying better care,HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER|HEALTH__FED_CMS_HOSPITAL_GENERAL,,,nothing there,v2-Hospital stars against hospital margin,,,No relationship found,,"8,476",one year,"Medium — partial run, needs finishing"
v1-E60,HEALTH,walk,Dialysis patients in counties with bad drinking water,Do they die at a higher rate?,Would connect water quality to dialysis patient survival,HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES|ENVIRONMENT__FED_EPA_SDWA_SDWA_VIOLATIONS_ENFORCEMENT,,,found a little,,,,"Real but modest signal, worth a deeper look",,"27,889,193",yearly file landed,"Medium — partial run, needs finishing"
v1-E61,HEALTH,walk,Hospitals that violate hazardous waste rules,Do they also have worse finances?,Tests if cutting corners on waste tracks with cutting corners on money,ENVIRONMENT__FED_EPA_RCRA_RCRA_VIOLATIONS|HEALTH__FED_CMS_HCRIS,,,found a little,,,,"Modest signal, needs more care in how it's measured",,"714,217",one year,"Medium — partial run, needs finishing"
v1-E62,HEALTH,walk,Nursing homes that claim to have fire sprinklers,Are they still getting cited for missing sprinkler systems?,Would show a safety checkbox that lies,HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,,,found something,v2-Fire-safety citations versus health citations,,,Confirmed as a real data quality problem,reports/tier1_deep_dive_2026-09-05/E62_sprinkler_flag_lies,"433,192",snapshot,Quick — re-run and check the number
v1-E63,HEALTH,walk,Nursing homes that lose administrators quickly,Does patient harm go up when leadership keeps turning over?,Tests if management chaos hurts patients,HEALTH__FED_NURSINGHOME411|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,,,found a little,,,,"Modest signal, promising",,"433,192",2024-25,"Medium — partial run, needs finishing"
v1-E67,HEALTH,walk,Counties with high jail populations,Do they also have fewer doctors available?,Tests if incarceration and doctor shortages travel together,JUSTICE__XC_VERA_INCARCERATION_TRENDS|HEALTH__FED_CMS_NPPES,,,nothing there,v2-Overdose deaths where doctors are scarce,,,no relationship once population size is controlled for,,"9,735,190",snapshot,Skip — already ruled out
v1-E69,HEALTH,walk,Community health centers and government grant money,How much grant money reaches each patient?,Basic transparency question on where the money goes,HEALTH__FED_HRSA_UDS_HEALTH_CENTER_INFO|HEALTH__FED_HRSA_UDS_TABLE3A_PATIENTS|FED_USASPENDING_ASSISTANCE_FULL,,,part done,v2-Health center staff on the ban list,,,Only a few months of money data currently available,,"19,905,591",6 of 24 months,"Medium — partial run, needs finishing"
v1-E70,HEALTH,walk,Nursing homes with veteran contracts,Are the worst-rated homes still getting VA contracts?,Would show the VA sending veterans to bad facilities,FED_USASPENDING_CONTRACTS_FULL_R2|HEALTH__FED_NURSINGHOME411,,,nothing there,,,,No pattern found,,"93,168,137",snapshot,"Medium — partial run, needs finishing"
v1-E71,HEALTH,walk,Counties and drug company payments to local doctors,Does more payment per person mean more opioid prescribing?,Tests the money-to-opioids link at a bigger scale,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS,,,found a little,"v2-Pills shipped against deaths, by county",,,"Weak signal, not conclusive",,"16,801,930",one year,"Medium — partial run, needs finishing"
v1-E73,HEALTH,walk,Banned contractors and health care workers,Do banned contractors turn out to also be doctors?,Would be a crossover fraud pattern,PROCUREMENT__FED_SAM_EXCLUSIONS|HEALTH__FED_CMS_NPPES,,,found something,,,,"HHS, OFAC, OPM rows filtered first or the answer is ""banned doctors are doctors""","HEALTH__SAM_EXCLUDED_PROVIDERS: 16,144 non-HHS exclusions, 814 matched to a doctor, 660 ambiguous","9,775,011",snapshot,"Small — mart built 2026-09-07, query it"
v1-E74,HEALTH,walk,Home health agencies that change owners,Is there a record of who the new owner is?,"Same shell-game question as #30, for home health",HEALTH__FED_CMS_HOME_HEALTH_OWNERS|HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS|HEALTH__FED_CMS_HOME_HEALTH,,,part done,,,,"Owners file landed 2026-09-07 (101,188 rows, 11,494 agencies, 97.7% carry a CCN). Key owners on ASSOCIATE_ID_OWNER not name; flags null on individuals; REIT flag is a constant N; 641 owner dates pre-1990 are sentinels. One snapshot, so ""changed owner"" reads off ASSOCIATION_DATE_OWNER (4,120 agencies since 2024), not a quarter-over-quarter diff.",reports/dead_ends_build_C_hha_owners_2026-09-07.md,"125,088","snapshot 2026-07-17; owner arrival dates 1800-2026, 641 pre-1990 rows are sentinels",Medium — first probe query needed
v2-041,HEALTH,walk,Paid doctors and what they prescribe,Do doctors paid by a drug maker prescribe that maker's drugs more?,The question everyone asks about pharma money.,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PARTD_PRESCRIBERS,NPI,other,not started,v1-4|v1-E37,Catalog item 1 and 2. Drug-level Part D table is 25M rows.,,,,,,
v2-042,HEALTH,walk,Opioid makers and opioid prescribers,Which opioid prescribers took opioid-maker money?,Catalog item 2 verbatim.,HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS,NPI,other,not started,v1-E39,,,,,,,
v2-043,HEALTH,walk,Deficiencies by nursing home ownership,Do chain-owned homes get more inspection citations per home?,Catalog item 6.,HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME,CCN,ranking,not started,v1-2,,,,,,,
v2-044,HEALTH,walk,Citations per resident-day,Which homes rack up the most citations per resident-day?,"Catalog item 7, which normalizes big homes against small.",HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY,CCN,ranking,not started,,MDS table is 31M rows.,,,,,,
v2-045,HEALTH,walk,Fire-safety citations versus health citations,Do homes with many fire citations also have many health citations?,"Two inspection regimes, one facility.",HEALTH__FED_CMS_NURSING_HOME_FIRE_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES,CCN,other,not started,v1-E62,,,,,,,
v2-046,HEALTH,walk,Hospital stars against hospital margin,Do richer hospitals get better star ratings?,Money and quality on one scatter.,HEALTH__FED_CMS_HOSPITAL_COMPARE|HEALTH__FED_CMS_HCRIS,CCN,other,not started,v1-11|v1-E59,,,,,,,
v2-047,HEALTH,walk,Doctors affiliated with one-star hospitals,Which doctors are tied to the lowest-rated hospitals?,"Catalog item 9 family, CCN.",HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_HOSPITAL_COMPARE,CCN,other,not started,,,,,,,,
v2-048,HEALTH,walk,Where banned providers were practicing,"Where did excluded providers practice, by specialty and state?",The ban list gets addresses.,HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_NPPES,NPI,map,not started,v1-E41,,,,,,,
v2-049,HEALTH,walk,Contract-banned people still paid by pharma,Did drug companies keep paying doctors on the federal do-not-do-business list?,A built table meets a payments table.,HEALTH__SAM_EXCLUDED_PROVIDERS|HEALTH__FED_CMS_OPEN_PAYMENTS,NPI,ranking,not started,,,,,,,,
v2-050,HEALTH,walk,Medicare billing against pharma payments,Do the highest Medicare billers also take the most pharma money?,Catalog item 1 family.,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_CMS_OPEN_PAYMENTS,NPI,other,not started,v1-E57,,,,,,,
v2-051,HEALTH,walk,Part B pay against specialty peers by state,Which doctors bill far above their specialty's state average?,Catalog item 3.,HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_CMS_NPPES,NPI,ranking,not started,,,,,,,,
v2-052,HEALTH,walk,"Eligible to refer, enrolled or not",How many order-and-referring doctors are not actually enrolled?,Catalog item 4.,HEALTH__FED_CMS_ORDER_AND_REFERRING|HEALTH__FED_CMS_PECOS_PROVIDER_ENROLLMENT,NPI,other,not started,v1-27,,,,,,,
v2-053,HEALTH,walk,Home health agencies per county resident,Which counties have the most home health agencies per person?,Catalog item 5.,HEALTH__FED_CMS_HOME_HEALTH|DIM_COUNTY,FIPS,map,not started,,,,,,,,
v2-054,HEALTH,walk,Overdose deaths where doctors are scarce,Do counties short on doctors have higher overdose death rates?,Catalog item 38.,HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_HRSA_SHORTAGE_AREAS,FIPS,map,not started,v1-E67,,,,,,,
v2-055,HEALTH,walk,Shortage areas against provider count,"Are designated shortage areas really short, by provider count?",Catalog item 41.,HEALTH__FED_HRSA_SHORTAGE_AREAS|HEALTH__FED_CMS_NPPES,FIPS,map,not started,,,,,,,,
v2-056,HEALTH,walk,"Pills shipped against deaths, by county",Did counties that got more pills see more overdose deaths?,Shipment and death on one county map.,HEALTH__FED_DEA_ARCOS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY,FIPS,map,not started,v1-E71,FIPS family has 15 tables; confirm ARCOS is one before building.,,,,,,
v2-057,HEALTH,walk,"Pharma money by specialty, rolled up",Which specialties take the most pharma money per doctor?,Uses the pre-rolled PUBLIC table.,HEALTH_MEDICINE__OPEN_PAYMENTS_BY_SPECIALTY_STATE_AGG|HEALTH_MEDICINE__NPPES_BY_TAXONOMY_STATE_AGG,state + specialty code,ranking,not started,,Both are rollups keyed by state and specialty; not a catalog key.,,,,,,
v2-058,HEALTH,walk,Pharma-paid doctors with malpractice records,Do states with more pharma money have more malpractice payments?,"NPDB is de-identified, so state level only.",HEALTH__FED_HRSA_NPDB|HEALTH_MEDICINE__OPEN_PAYMENTS_BY_SPECIALTY_STATE_AGG,state code,other,not started,,State is not a catalog key. Lookup only.,,,,,,
v2-059,HEALTH,walk,Health-center clinics against shortage areas,Are federally funded clinics where the shortage areas are?,"Two maps, one overlay.",HEALTH__FED_HRSA_UDS_SERVICE_DELIVERY_SITES|HEALTH__FED_HRSA_SHORTAGE_AREAS,FIPS,map,not started,,,,,,,,
v2-060,HEALTH,walk,Facilities in many programs,Which hospitals converted to Rural Emergency Hospitals and what did they look like before?,Enrollment table has the conversion flag.,HEALTH__FED_CMS_HOSPITAL_ENROLLMENTS|HEALTH__FED_CMS_POS_OTHER,CCN,timeline,not started,v1-E43|v1-E47,,,,,,,
v1-1,HEALTH,run,Excluded doctors and the hospices/nursing homes that keep them,Are doctors banned from Medicare still showing up on hospice paperwork?,Banned doctors shouldn't still be treating dying patients,HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION|IMMIGRATION__FED_CMS_HOSPICE_ENROLLMENTS|HEALTH__FED_CMS_SKILLED_NURSING_FACILITY_ENROLLMENTS,,,part done,,,,"Found 4 so far, confirmed",,"2,364,431",affiliation snapshot 2026-07,"Medium — partial run, needs finishing"
v1-12,HEALTH,run,Long-term care hospitals,Do hospitals with financial trouble also have padded ventilator equipment billing?,Would show equipment fraud on the sickest patients,HEALTH__FED_CMS_LTCH|HEALTH__FED_CMS_POS_OTHER|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_OPEN_PAYMENTS,,,part done,,,,"Partially checked, small group so far",,"17,689,980",2023,"Medium — partial run, needs finishing"
v1-27,HEALTH,run,People applying to become Medicare providers,Are any of them already banned for past fraud?,Would catch fraud before it even starts,HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_PHYSICIANS|HEALTH__FED_CMS_PENDING_INITIAL_LOGGING_AND_TRACKING_NON_PHYSICIANS|HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION,,,found something,"v2-Eligible to refer, enrolled or not",,,"9 found, small but real",reports/tier1_deep_dive_2026-09-05/27_pending_applicants_banned,"2,358,060",2026-07 snapshot,Quick — re-run and check the number
v1-6,HEALTH,run,Dialysis clinic chains in rural areas,Do dialysis chains that dominate a rural area have worse patient outcomes?,Would show monopoly power hurting sick people,HEALTH__FED_CMS_DIALYSIS|HEALTH__FED_CMS_MEDICARE_DIALYSIS_FACILITIES|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE|HEALTH__FED_CMS_OPEN_PAYMENTS,,,part done,,,,"Partially checked, needs a full run",,"30,613,170",one vintage,"Medium — partial run, needs finishing"
v1-E75,HEALTH,run,Nursing home chains and COVID relief funds,Did the worst chains get big pandemic bailout money?,Would show bad actors profiting from a national emergency,FED_HRSA_PROVIDER_RELIEF_FUND|HEALTH__FED_HRSA_PROVIDER_RELIEF_FUND|HEALTH__NURSING_HOME_RELIEF_BY_CHAIN|HEALTH__FED_NURSINGHOME411,,,found something,v2-Nursing home relief money by chain,,,"Name+city+state floor: 2,122 of 14,713 homes hit (14%), chains 9.7% vs independents 25%. Hospital-unit money ($1.21B) and one-word hits excluded. Zero means no name hit, not no money",reports/dead_ends_build_B_prf_2026-09-07.md,"419,846","PRF payments 2020-2022, file dated 2025-03-28",Medium — a verified opco-name rule would lift the chain hit rate
v2-061,HEALTH,run,The opioid chain,"Can pills shipped, prescriptions written, pharma money, deaths, and treatment sites be laid on one county over twenty years?",The whole epidemic on one scrolling page.,HEALTH__FED_DEA_ARCOS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CDC_DRUG_POISONING_COUNTY|HEALTH__FED_CMS_OPIOID_TREATMENT_PROGRAM_PROVIDERS|HEALTH__ADDICTION_PRESCRIBERS_PAID,"NPI, FIPS",other,not started,v1-107,Scrollytelling. Every join is a catalog key.,,,,,,
v2-062,HEALTH,run,Nursing home chain scorecard,"For each chain: homes, stars, citations, fines, relief money, owners?",One page per chain a family could use.,HEALTH__FED_CMS_NURSING_HOME|HEALTH__FED_CMS_NURSING_HOME_DEFICIENCIES|HEALTH__FED_CMS_NURSING_HOME_PENALTIES|HEALTH__NURSING_HOME_RELIEF_BY_CHAIN|HEALTH__FED_NURSINGHOME411,CCN,other,not started,v1-2|v1-30|v1-133|v1-E44,,,,,,,
v2-063,HEALTH,run,"One doctor, every table","For one NPI: registry, pharma money, prescribing, billing, bans, hospital ties?",A lookup page that shows the warehouse's reach.,HEALTH__FED_CMS_NPPES|HEALTH__FED_CMS_OPEN_PAYMENTS|HEALTH__FED_CMS_PART_D_PRESCRIBERS|HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER|HEALTH__FED_HHS_OIG_LEIE|HEALTH__FED_CMS_FACILITY_AFFILIATION|HEALTH__FED_CMS_QUALITY_PAYMENT_PROGRAM_EXPERIENCE,NPI,other,not started,,"NPI is the steel key: 34 tables, 364 edges.",,,,,,
v2-064,HEALTH,run,Device life story,"From clearance to registry to injury report to recall, for one product code?",Follow one device through four FDA systems.,HEALTH__FED_FDA_DEVICE_510K|HEALTH__FED_FDA_GUDID|HEALTH__FED_FDA_MAUDE|HEALTH__FED_FDA_DEVICE_ENFORCEMENT|HEALTH__FED_FDA_DEVICE_CLASSIFICATION,product code,flow,not started,,Product code is not a catalog key. Needs proving.,,,,,,
v2-065,HEALTH,run,Private equity in home care,Do PE-owned home health agencies score worse on care outcomes?,Owner list meets outcome list.,HEALTH__FED_CMS_HOME_HEALTH_OWNERS|HEALTH__FED_CMS_HOME_HEALTH|HEALTH__FED_CMS_HOME_HEALTH_AGENCY_ENROLLMENTS,CCN,other,not started,v1-31|v1-74,,,,,,,
v2-066,POLITICS,crawl,Congress drifting apart,How far apart have the two parties' ideology scores moved since 1789?,"The polarization chart, from the original source.",POLITICS__FED_VOTEVIEW_MEMBERS,single table,timeline,not started,,51K member-Congress rows.,,,,,,
v2-067,POLITICS,crawl,"Three branches, one axis","How far apart do the House, Senate and Supreme Court sit each year?",One line per branch on one axis.,POLITICS__JCS_MEDIANS|POLITICS__XC_JCS_MEDIANS,"stack, same shape",timeline,not started,,XC version adds each circuit.,,,,,,
v2-068,POLITICS,crawl,Who actually passes bills,Which members turn the most sponsored bills into law?,"Rank by enactment rate, not by noise.",POLITICS__MEMBER_BILL_RECORD,single table,ranking,not started,,Built table.,,,,,,
v2-069,POLITICS,crawl,Missed votes and party loyalty,"Who misses the most votes, and who breaks with their party most?",Two numbers per member.,POLITICS__MEMBER_VOTING_RECORD,single table,other,not started,,Built table.,,,,,,
v2-070,POLITICS,crawl,Cosponsor web,"Which members cosponsor together, across the aisle?",A network graph of Congress.,POLITICS__FED_GOVINFO_BILL_COSPONSORS,single table,other,not started,,1.27M rows. The BILLS-era table is a smaller sibling.,,,,,,
v2-071,POLITICS,crawl,Senators' stock trades,"Which senators trade most, and what did they buy before big news?",Trades on a timeline next to headlines.,POLITICS__SENATE_TRADES|FINANCE__SENATE_TRADES,"stack, same shape",timeline,not started,,FINANCE__SENATE_TRADES merges both sources with Bioguide.,,,,,,
v2-072,POLITICS,crawl,Margins of victory over time,Are federal elections getting closer or more lopsided?,"Every winner, every margin.",POLITICS__WHO_WON,single table,timeline,not started,,,,,,,,
v2-073,POLITICS,crawl,Closest House races,Which House seats were decided by the fewest votes?,"Vote share by candidate, MIT-cleaned.",POLITICS__FED_MEDSL_HOUSE_RETURNS|POLITICS__FED_MEDSL_SENATE_RETURNS|POLITICS__FED_MEDSL_PRESIDENT_RETURNS,"stack, same shape",map,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-074,POLITICS,crawl,Where Texas lobbyists buy dinner,Which restaurants and which officials show up most on lobbyist meal reports?,A list of restaurants is a very human chart.,POLITICS__TX_LOBBY_FOOD_BEVERAGE,single table,ranking,not started,,,,,,,,
v2-075,POLITICS,crawl,"Texas lobby gifts, travel, events","What do lobbyists give Texas officials, and who gets most?","Gifts, hotels, flights, receptions in one view.",POLITICS__TX_LOBBY_GIFTS|POLITICS__TX_LOBBY_TRANSPORTATION|POLITICS__TX_LOBBY_EVENTS|POLITICS__TX_LOBBY_ENTERTAINMENT|POLITICS__TX_LOBBY_AWARDS,"stack, same shape",ranking,not started,,Same filer ID across tables; not a catalog key.,,,,,,
v2-076,POLITICS,crawl,Texas lobby spending by category over time,"How did total lobby spending split across meals, gifts, travel, media by year?",Cover sheets carry the totals.,POLITICS__TX_LOBBY_COVER,single table,timeline,not started,,,,,,,,
v2-077,POLITICS,crawl,What Texas lobbyists work on,Which subjects draw the most lobbying activity in Texas?,"210K subject rows, one bar chart.",POLITICS__TX_LOBBY_SUBJECT_MATTER,single table,ranking,not started,,,,,,,,
v2-078,POLITICS,crawl,California's biggest lobby spenders,Which employers pay the most for lobbying per session?,Quarter-by-quarter totals per employer.,POLITICS__CA_LOBBY_EMPLOYER|POLITICS__CA_LOBBY_FIRM,"stack, same shape",ranking,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-079,POLITICS,crawl,California lobbyists who also donate,Which lobbyists give the most campaign money?,Lobby and donate in one row.,POLITICS__CA_LOBBY_CONTRIBUTIONS,single table,ranking,not started,,,,,,,,
v2-080,POLITICS,crawl,People on many dark-money boards,Which names sit on the most 527 organization filings?,Same names across dozens of groups.,POLITICS__IRS527_DIRECTORS_OFFICERS,single table,ranking,not started,v1-88,,,,,,,
v2-081,POLITICS,crawl,Dark-money groups related to each other,Which 527 groups declare each other as related?,A network of shells.,POLITICS__IRS527_RELATED_ENTITIES|POLITICS__IRS527_8871_ORGS,"stack, same shape",other,not started,,"Several tables shown side by side, no join. If a join is wanted, it is not in the catalog.",,,,,,
v2-082,POLITICS,crawl,Canada's 12.6 million donations,How did giving to each Canadian party move over time?,Bigger than most US state files.,POLITICS__INTL_ELECTIONS_CANADA_CONTRIBUTIONS,single table,timeline,not started,,,,,,,,
v2-083,POLITICS,crawl,Freedom scores rising and falling,Which countries lost the most freedom points in the last decade?,A world map that changes color.,POLITICS__INTL_FREEDOMHOUSE,single table,map,not started,,,,,,,,
v2-084,POLITICS,crawl,Military spending by country,"Who spends most, and who grew fastest?",Ranking that moves over time.,POLITICS__INTL_OWID_MILSPEND,single table,timeline,not started,,,,,,,,
v2-085,POLITICS,crawl,Who votes with whom at the UN,"Which countries vote with the US most and least, and how has that shifted?",A country-pair heatmap.,POLITICS__INTL_VOETEN_UNGA_VOTES,single table,other,not started,,,,,,,,
v2-086,POLITICS,crawl,Corruption perception by country,Which countries' corruption scores improved or fell most?,"Simple, global, recognizable.",POLITICS__XC_OWID_CPI,single table,map,not started,,,,,,,,
