model,column,clock,grain,is_primary,confidence,why,overturned_from,overturn_why,evidence_file
economics__fed_irs_990_efile_index,tax_period,span_end,month,False,medium,"Raw passthrough of TAX_PERIOD, the IRS YYYYMM period-ending code; month grain at best and never safe to date-parse bare.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_990_efile_index.sql
economics__fed_irs_990_efile_index,sub_date,reported,year,True,high,"The submission date to the IRS, now parsed by three explicit strict formats after the documented 2026-08-18 fix; grain is only YEAR because the model's own comment records that 3,192,934 rows (57.6%) carry a bare 4-digit filing year, not a full date — the census min of 1970-01-01 and its 3.19M epoch rows are the PRE-FIX reading and are stale.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_990_efile_index.sql
economics__fed_irs_auto_revocations,revocation_date,decided,day,True,high,try_to_date(REVOCATION_DATE); the day the IRS revoked exempt status. Chosen over the 'reported' posting date despite the stated preference because the posting date is a monthly batch-publication artifact that would pile every revocation onto ~190 publication days.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_auto_revocations.sql
economics__fed_irs_auto_revocations,revocation_posting_date,reported,day,False,high,"try_to_date(REVOCATION_POSTING_DATE); when the IRS published the revocation to the public list, always later than the revocation itself — the gap is measurable here.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_auto_revocations.sql
economics__fed_irs_auto_revocations,reinstatement_date,decided,day,False,high,"try_to_date(REINSTATEMENT_DATE); the day the IRS restored exempt status, populated only for the subset that came back.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_auto_revocations.sql
economics__fed_irs_bmf,tax_period,span_end,month,False,medium,"trim(tax_period) only — a raw TEXT YYYYMM period-ending code from the Business Master File; month grain, and an 6-digit bare date-parse would epoch-collapse it.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_bmf.sql
economics__fed_irs_bmf,ruling_date,decided,month,True,medium,"trim(ruling) aliased to ruling_date — the BMF RULING field, the YYYYMM in which the IRS granted the organization's exemption; it is the only real event clock here and places every nonprofit by when it was recognised. Stored as TEXT and never parsed, so month grain and no epoch damage yet.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_bmf.sql
economics__fed_irs_eo_pr,tax_period,span_end,month,True,medium,"Raw TEXT passthrough of the BMF YYYYMM period-ending code; it is the only candidate on this Puerto Rico exempt-org extract, so it is the primary by default even though it is a period bound, not an event.","clock=span_end, grain=month, is_primary=TRUE, why claims 'it is the only candidate on this Puerto Rico exempt-org extract'","The 'only candidate' claim is factually false. Compiled line 24 is `RULING as ruling` - the same IRS Business Master File RULING field (YYYYMM the IRS granted exemption) that this SAME agent correctly called clock=decided, grain=month, is_primary=TRUE on economics__fed_irs_bmf. It only escaped the sweep because it is named `ruling`, not `ruling_date`. A 'decided' event clock beats a span_END period bound under the stated preference order, so the primary is on the wrong axis. (Line 35, `ACCT_PD as acct_pd`, is a second missed time-shaped column - an accounting-period month code, not_a_date.)",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_eo_pr.sql
economics__fed_irs_revocation,revocation_date,decided,day,True,medium,"trim(revocation_date) over a staging model that is itself a bare TEXT rename — the day the IRS revoked exempt status, stored unparsed. Same reasoning as the auto_revocations twin: the decided date beats the batch posting date for honest placement.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_irs_revocation/stg_fed_irs_revocation__organizations.sql
economics__fed_irs_revocation,revocation_posting_date,reported,day,False,medium,trim() of an unparsed TEXT column; when the IRS published the revocation to the list.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_revocation.sql
economics__fed_irs_revocation,reinstatement_date,decided,day,False,medium,"trim(exemption_reinstatement_date), unparsed TEXT; the day exempt status was restored, and the model uses its non-emptiness to build was_reinstated.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_revocation.sql
economics__fed_irs_soi_charities,tax_period,span_end,month,True,medium,"Raw TEXT passthrough of the YYYYMM period-ending code and the only candidate on this 2,450-row SOI extract.","clock=span_end, grain=month, is_primary=TRUE, why claims it is 'the only candidate on this 2,450-row SOI extract'","Identical defect to the eo_pr twin, and identical evidence: compiled line 22 is `RULING as ruling`, the BMF ruling-date field the same agent made primary on economics__fed_irs_bmf. 'Only candidate' is wrong; a decided clock outranks a span_end. Line 33 (`ACCT_PD as acct_pd`) is a further missed time-shaped column.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_irs_soi_charities.sql
economics__fed_pbgc_data,data_year,happened,year,True,medium,"Raw passthrough of DATA_YEAR, the year each pension-insurance metric describes; it is the year the measured thing was true, and it is part of the model's dedup partition key so it is populated.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_pbgc_data.sql
economics__fed_pbgc_data,publication_date,reported,day,False,high,"try_to_date(PUBLICATION_DATE); when PBGC published the data table, always later than the data year it describes.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_pbgc_data.sql
economics__fed_sba_loans,approval_date,decided,day,True,high,"try_to_date(APPROVALDATE); SBA approving the loan is an authority acting, and the model's own grain comment shows APPROVALDATE is part of the row identity, so it is the one date present on every loan — first_disbursement_date is 'happened' but only exists for the disbursed subset.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,approval_fiscal_year,decided,year,False,high,"try_to_number(APPROVALFY) is a fiscal-year integer restating approval_date at year grain; safe because it is a number, and it must stay one.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,first_disbursement_date,happened,day,False,high,"try_to_date(FIRSTDISBURSEMENTDATE); the day the money actually moved — the truest real-world event here, but sparsely populated relative to approval_date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,term_months,not_a_date,unknown,False,high,"try_to_number(TERMINMONTHS) is a loan duration in months, not a point in time.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,business_age,not_a_date,unknown,False,high,"Raw passthrough of BUSINESSAGE, an age/age-band descriptor of the borrower, not a date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,paid_in_full_date,happened,day,False,high,"try_to_date(PAIDINFULLDATE); the day the loan was repaid, an outcome event on a subset of rows.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_loans,chargeoff_date,happened,day,False,high,try_to_date(CHARGEOFFDATE); the day the loan was written off — the harm-side outcome clock on this table.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_loans.sql
economics__fed_sba_ppp,date_approved,decided,day,True,high,"try_to_date(DATEAPPROVED); SBA approval of the PPP loan, present on every row and used as the dedup ordering key in the model, and it matches the census window 2020-04-03 to 2024-09-30.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_ppp.sql
economics__fed_sba_ppp,loan_status_date,decided,day,False,medium,"try_to_date(LOANSTATUSDATE); the date SBA set the loan's current status (paid in full, charged off, etc.), so it is an authority action, later than approval.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_ppp.sql
economics__fed_sba_ppp,term_months,not_a_date,unknown,False,high,"try_to_number(TERM) is the loan term length in months, a duration.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_ppp.sql
economics__fed_sba_ppp,business_age,not_a_date,unknown,False,high,"Passthrough of BUSINESSAGEDESCRIPTION, a text age-band label such as 'Existing or more than 2 years old'.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sba_ppp.sql
economics__fed_sec_edgar,reportdate,span_end,day,True,medium,"Raw TEXT passthrough of the data.sec.gov 'reportDate', the period the filing reports on (period end), and the only usable clock in the candidate list; note the model also carries FILEDAT, the true filing date, which the name sweep missed.","clock=span_end, grain=day, is_primary=TRUE","The classifier admitted in its own 'why' that FILEDAT (the true filing date) is in this model, then made the period-end column primary anyway. I confirmed line 15 of the compiled mart: `FILEDAT as filedat`. The stated preference order is happened > reported > decided > span_start; a span_END is the weakest possible axis and it was chosen while a real 'reported' day-grain clock sits unused on the same 200-row table. This is failure mode 3 verbatim. Because FILEDAT is not in the census time_columns list, the synthesis step has to be told to add it - otherwise this table gets indexed on the wrong axis.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sec_edgar.sql
economics__fed_sec_edgar,fiscalyearend,not_a_date,unknown,False,medium,"Raw TEXT passthrough of the SEC submissions API 'fiscalYearEnd', which is an MMDD code such as '1231' — a month-day pattern with no year, so it is not a date; I could not sample values with the warehouse down, hence medium.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_sec_edgar.sql
economics__fed_treasury_avg_interest_rates,record_date,happened,month,True,high,"The Treasury observation date, part of the model's surrogate key; the file is monthly (census window 2001-01-01 to 2026-05-31 over 4,961 rows), so day grain would be a false claim.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,record_fiscal_year,happened,year,False,medium,"Passthrough of the Treasury Fiscal Data API's own fiscal-year component of record_date; a plain year value, safe only as a number.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,record_fiscal_quarter,not_a_date,unknown,False,medium,"Passthrough of the API's fiscal-quarter component, a bare 1-4 ordinal with no year, so it cannot place a row on a timeline by itself.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,record_calendar_year,happened,year,False,medium,Passthrough of the calendar-year component of record_date; a plain year value.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,record_calendar_quarter,not_a_date,unknown,False,medium,"Bare 1-4 calendar-quarter ordinal from the API, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,record_calendar_month,not_a_date,unknown,False,medium,"Bare 1-12 month-of-year ordinal from the API, no year attached; a date-parse would read it as a handful of epoch seconds.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,report_month,happened,month,False,high,"Literally date_trunc('month', record_date) in the mart — a derived convenience truncation of the same observation clock, so it is a real DATE at month grain.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_avg_interest_rates,report_year,happened,year,False,high,"Literally date_trunc('year', record_date) — a derived DATE at year grain off the same observation clock.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_avg_interest_rates.sql
economics__fed_treasury_debt_outstanding,record_date,happened,year,True,high,"try_to_date(RECORD_DATE); 237 rows spanning 1790 to 2025 is one row per year, so this is an ANNUAL series and day grain would be a false claim — the census CORRUPT_RANGE flag is a false alarm, US debt outstanding genuinely starts in 1790 and the single epoch-1970 row is a real 1970 observation.","confidence=high, with the why asserting as fact that 'the census CORRUPT_RANGE flag is a false alarm' and 'the single epoch-1970 row is a real 1970 observation'","The clock, the year grain and the primary are right - 237 rows across 1790-2025 is one row per year. But the cast is a bare `try_to_date(RECORD_DATE)` (compiled mart line 10), which is precisely the pattern that reads a small numeric string as epoch seconds, and Treasury's pre-1976 historical debt records land on the June 30 fiscal year end, not January 1 - so a value of exactly 1970-01-01 is more likely an epoch collapse than a genuine observation. With the warehouse down neither of us can sample it. Declaring a census corruption flag a false alarm on an unverifiable assumption, at 'high' confidence, is the failure the census exists to prevent.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_fiscal_year,happened,year,False,medium,Raw passthrough of the API's fiscal-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_fiscal_quarter,not_a_date,unknown,False,medium,"Bare 1-4 fiscal-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_calendar_year,happened,year,False,medium,Raw passthrough of the calendar-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_calendar_quarter,not_a_date,unknown,False,medium,"Bare 1-4 calendar-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_calendar_month,not_a_date,unknown,False,medium,"Bare 1-12 month-of-year ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_outstanding,record_calendar_day,not_a_date,unknown,False,medium,"Bare 1-31 day-of-month ordinal, no month or year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_outstanding.sql
economics__fed_treasury_debt_to_penny,record_date,happened,day,True,high,"The model description states each row is one daily debt snapshot, and the census window 1993-04-01 to 2026-06-15 over 8,329 rows matches business-daily coverage.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_fiscal_yr,happened,year,False,medium,Passthrough of the API's fiscal-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_fiscal_qtr,not_a_date,unknown,False,medium,"Bare 1-4 fiscal-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_calendar_yr,happened,year,False,medium,Passthrough of the calendar-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_calendar_qtr,not_a_date,unknown,False,medium,"Bare 1-4 calendar-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_calendar_month,not_a_date,unknown,False,medium,"Bare 1-12 month-of-year ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_debt_to_penny,record_calendar_day,not_a_date,unknown,False,medium,"Bare 1-31 day-of-month ordinal, no month or year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_debt_to_penny.sql
economics__fed_treasury_dts_deposits,record_date,happened,day,True,high,try_to_date(RECORD_DATE) on the Daily Treasury Statement deposits feed; 478k rows over 2005-10-03 to 2026-08-07 is a genuine daily series.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_fiscal_year,happened,year,False,medium,Passthrough of the API's fiscal-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_fiscal_quarter,not_a_date,unknown,False,medium,"Bare 1-4 fiscal-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_calendar_year,happened,year,False,medium,Passthrough of the calendar-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_calendar_quarter,not_a_date,unknown,False,medium,"Bare 1-4 calendar-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_calendar_month,not_a_date,unknown,False,medium,"Bare 1-12 month-of-year ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_dts_deposits,record_calendar_day,not_a_date,unknown,False,medium,"Bare 1-31 day-of-month ordinal, no month or year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_dts_deposits.sql
economics__fed_treasury_mts_receipts,record_date,happened,month,True,high,"try_to_date(RECORD_DATE) on the Monthly Treasury Statement receipts feed; the census window 2015-03-31 to 2026-06-30 sits on month-ends, so month is the true resolution.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,current_month_gross_rcpt_amt,not_a_date,unknown,False,high,try_to_double(...) — a dollar amount that matched the name sweep only because it starts with 'current_month'.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,current_month_refund_amt,not_a_date,unknown,False,high,"try_to_double(...) — a dollar amount, not a date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,current_month_net_rcpt_amt,not_a_date,unknown,False,high,"try_to_double(...) — a dollar amount, not a date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_fiscal_year,happened,year,False,medium,Passthrough of the API's fiscal-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_fiscal_quarter,not_a_date,unknown,False,medium,"Bare 1-4 fiscal-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_calendar_year,happened,year,False,medium,Passthrough of the calendar-year component of record_date.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_calendar_quarter,not_a_date,unknown,False,medium,"Bare 1-4 calendar-quarter ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_calendar_month,not_a_date,unknown,False,medium,"Bare 1-12 month-of-year ordinal, no year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_treasury_mts_receipts,record_calendar_day,not_a_date,unknown,False,medium,"Bare 1-31 day-of-month ordinal, no month or year attached.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_treasury_mts_receipts.sql
economics__fed_us_sec_edgar,filed_at,reported,day,True,high,"Staging does try_to_date(filed_at), so it is a DATE (time dropped): the day the filer submitted to EDGAR, populated on every filing, matching the census window 1995-05-19 to 2026-07-01.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_us_sec_edgar/stg_fed_us_sec_edgar__edgar_filings.sql
economics__fed_us_sec_edgar,period_of_report,span_end,day,False,high,"Staging does try_to_date(period_of_report); it is the end of the period the filing covers, which is why it always sits earlier than filed_at.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/models/staging/fed_us_sec_edgar/stg_fed_us_sec_edgar__edgar_filings.sql
economics__fed_us_sec_edgar,filed_year,reported,year,False,high,Literally year(filed_at) in the mart — a 4-digit year integer restating the filing clock at year grain.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_sec_edgar.sql
economics__fed_us_sec_edgar,filed_month,not_a_date,unknown,False,high,"Literally month(filed_at) in the mart, which returns a bare 1-12 integer with no year — a date part, not a date.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_sec_edgar.sql
economics__fed_us_sec_edgar,is_quarterly_report,not_a_date,unknown,False,high,A case expression returning true/false when form_type is 10-Q or 10-Q/A — a boolean flag that matched the sweep only on the word 'quarterly'.,,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_sec_edgar.sql
economics__fed_us_usaspending_api,fiscal_year,happened,year,False,medium,"Raw passthrough; the federal fiscal year the award action falls in, a year-grain restatement of the award's timing.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_usaspending_api.sql
economics__fed_us_usaspending_api,start_date,span_start,day,True,medium,"Period-of-performance opening bound, and the mart uses it in datediff('day', start_date, end_date), which proves it is a real DATE; chosen over the year-grain fiscal_year because it is finer and over last_modified_date because that one is record maintenance, not an event.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_usaspending_api.sql
economics__fed_us_usaspending_api,end_date,span_end,day,False,medium,"Period-of-performance closing bound, also used in the datediff; it carries the 2100-12-31 sentinel that produced all 13 far-future rows in the census.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_usaspending_api.sql
economics__fed_us_usaspending_api,last_modified_date,reported,day,False,medium,"USASpending's own record-maintenance stamp for when the award record was last changed in their system — publisher bookkeeping about the row, not about the world, so never a primary clock.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_usaspending_api.sql
economics__fed_us_usaspending_api,award_duration_days,not_a_date,unknown,False,high,"Literally datediff('day', start_date, end_date) in the mart — a duration in days, the same bug shape as days_received_to_company.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_us_usaspending_api.sql
economics__fed_usaspending_assistance_full,action_date,happened,day,True,medium,"The day the assistance transaction was executed — the real-world money event and the natural clock for a 19.9M-row transaction table; note this model is a pure quoted passthrough with NO cast, so it is still TEXT, which is why the census never measured it.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_assistance_full,action_date_fiscal_year,not_a_date,year,False,medium,"Fiscal-year restatement of action_date, kept as raw TEXT here (unlike the contracts_full twin, which was cast to a date and destroyed) — leave it as a number/string, never date-parse it.","clock=happened, grain=year","This is the same USASpending fiscal-year field that, on the sibling table economics__fed_usaspending_contracts_full, the SAME agent called not_a_date and identified as the confirmed 20-million-row epoch-1970 disaster. One of the two calls has to be wrong. I read both marts: on contracts_full the fix comment records it as a bare fiscal-year number ('2012', 1,000,000 rows per FY 2007-2026); on assistance_full it is an uncast quoted TEXT passthrough (compiled line 33) of the identical FABS/FPDS field. Resolve it as not_a_date on both, because (a) the taxonomy names a fiscal-YEAR number as the canonical not_a_date example, (b) `action_date` sits right beside it at day grain and is already primary, so the fiscal year adds zero placement power and only carries parse risk, and (c) leaving it labelled a real clock on a 19.9M-row table is an open invitation to repeat the exact bare-try_to_date bug that collapsed its twin. Medium confidence - what matters most is that the two twins stop disagreeing.",C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_assistance_full,period_of_performance_start_date,span_start,day,False,medium,"Opening bound of the award's performance window; raw TEXT passthrough, no cast in the model.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_assistance_full,period_of_performance_current_end_date,span_end,day,False,medium,"Current closing bound of the performance window; raw TEXT passthrough, and 'current' means it moves as the award is modified.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_assistance_full,initial_report_date,reported,day,False,medium,"When the transaction was first reported into the federal award system, later than action_date; the action-to-report gap is itself measurable here.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_assistance_full,last_modified_date,reported,day,False,medium,"USASpending's record-maintenance stamp for the last edit to this transaction record — publisher bookkeeping, not an event.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_assistance_full.sql
economics__fed_usaspending_contracts,action_date,happened,day,True,medium,"The day the contract transaction was executed, the real-world event for this 6.3M-row transaction table; the model is a bare column list with no casts, so it is still TEXT and the census could not measure it.",,,C:/Code/Ripple_v6/library-onboarding/ripple_dbt/target/compiled/ripple/models/marts/economics/economics__fed_usaspending_contracts.sql
