table	column	check	result	severity	proposed_fix
FINANCE.FINANCE__FED_EPA_ICIS_FEC_ICIS_FEC_EPA_INSPECTIONS	EPA_REGION_CODE	C2 catalog regex tag wrong	FRS/EPA: 0.0% fit; e.g. ['02', '08', '09']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_FATCA_FFI	COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['BRAZIL', 'CANADA', 'CAYMAN ISLANDS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_BANK_DATA	STNAME	C2 name tag holds something else	single words or codes; org words 0.1%, people 0.0%; e.g. ['North Dakota', 'New Jersey', 'Maryland']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_BANK_DATA	LEI	C2 tag fails its format	LEI: 0.0% of 118 sampled values fit; e.g. ['549300HMUOLWELP0', '549300NWBESFDVWE', '5493001ZYMBN3CK8']	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
FINANCE.FINANCE__FED_FDIC_BANK_DATA	LEI	C2 catalog regex tag wrong	LEI: 0.0% fit; e.g. ['549300HMUOLWELP0', '549300NWBESFDVWE', '5493001ZYMBN3CK8']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_FDIC_BANK_DATA	HOLDING_COMPANY_CITY	C2 name tag holds something else	single words or codes; org words 1.2%, people 0.0%; e.g. ['ROSELLE', 'WESTWOOD', 'DURHAM']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_BANK_DATA	CBSA_METRO_NAME	C2 name tag holds something else	places; org words 26.3%, people 61.4%; e.g. ['Fargo, ND-MN', 'New York-Newark-Jersey City, NY-NJ-PA', 'Baltimore-Columbia-Towson, MD']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	HOLDING_COMPANY_RSSD	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1116300', '1117781', '1023060']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_STATE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Pennsylvania', 'California', 'Florida']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['42', '6', '12']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_COUNTY_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['45', '17', '91']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_COUNTY_NAME	C2 name tag holds something else	places; org words 0.9%, people 0.0%; e.g. ['Delaware', 'Bucks', 'Montgomery']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_MSA_NAME	C2 name tag holds something else	places; org words 63.4%, people 80.4%; e.g. ['Philadelphia-Camden-Wilmington, PA-NJ-DE-MD', 'Scranton-Wilkes-Barre-Hazleton, PA', 'Harrisburg-Carlisle, PA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_CBSA_DIVISION_NAME	C2 name tag holds something else	places; org words 58.5%, people 59.1%; e.g. ['Philadelphia, PA', 'Montgomery County-Bucks County-Chester County, PA', 'Newark, NJ-PA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	BRANCH_NECTA_NAME	C2 name tag holds something else	places; org words 0.0%, people 91.7%; e.g. ['Boston-Cambridge-Quincy, MA-NH', 'Barnstable Town, MA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	INSTITUTION_STATE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Pennsylvania', 'New Jersey', 'California']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	FED_DISTRICT_NAME	C2 name tag holds something else	single words or codes; org words 2.1%, people 0.0%; e.g. ['Philadelphia', 'Cleveland', 'San Francisco']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	FDIC_REGION_NAME	C2 name tag holds something else	places; org words 8.5%, people 0.0%; e.g. ['New York', 'San Francisco', 'Atlanta']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FDIC_SOD_BRANCH_DEPOSITS	HOLDING_COMPANY_CITY	C2 name tag holds something else	single words or codes; org words 2.5%, people 0.0%; e.g. ['Philadelphia', 'Harrisburg', 'Reading']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_FEC_COMMITTEE_TO_CANDIDATE	SUB_ID	C2 catalog regex tag wrong	FEC_ID: 0.0% fit; e.g. ['4031220261421918143', '4031220261421918136', '4031220261421918137']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_FEC_INDIV_CONTRIBUTIONS	SUB_ID	C2 catalog regex tag wrong	FEC_ID: 0.0% fit; e.g. ['4082020261584341772', '4120720161356861144', '4012120212130960390']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_IRS527_SCHEDULE_A_CONTRIBUTIONS	CONTRIBUTOR_EMPLOYER	C2 name tag holds something else	single words or codes; org words 3.0%, people 0.0%; e.g. ['N/A', 'HOMEMAKER', 'RETIRED']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	RECIPIENT_CITY	C2 name tag holds something else	places; org words 0.1%, people 0.0%; e.g. ['CHICAGO', 'EVANSTON', 'WAUWATOSA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	RECIPIENT_STATE	C2 name tag holds something else	places; org words 0.4%, people 0.0%; e.g. ['IL', 'WI', 'MO']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	RECIPIENT_EMPLOYER	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['NA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_IRS527_SCHEDULE_B_EXPENDITURES	RECIPIENT_OCCUPATION	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['NA']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__FED_IRS_SOI	STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['1']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FOICU	STATE_CODE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['48', '32', '22']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
FINANCE.FINANCE__FED_NCUA_CALL_REPORTS_FOICU	STATE_CODE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['48', '32', '22']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS	FIRM_ISSUING_STATE	C2 tag fails its format	STATE: 0.0% of 1825 sampled values fit; e.g. ['Pennsylvania', 'California', 'Virginia']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS	FIRM_ISSUING_STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['Pennsylvania', 'California', 'Virginia']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__FED_PCAOB_FORM_AP_FILINGS	ISSUER_CIK_NONE	C2 catalog regex tag wrong	CIK: 0.0% fit; e.g. ['false', 'true']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__INTL_OSFI_REGULATED_FI	FI_TYPE_NAME	C2 name tag holds something else	things, not names; org words 4.4%, people 0.0%; e.g. ['Federally Regulated Financial Institutions', 'Foreign Bank Representative Offices']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__INTL_OSFI_REGULATED_FI	PROVINCE_STATE	C2 tag fails its format	STATE: 0.0% of 343 sampled values fit; e.g. ['Ontario', 'Quebec', 'New Brunswick']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
FINANCE.FINANCE__INTL_OSFI_REGULATED_FI	PROVINCE_STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['Ontario', 'Quebec', 'New Brunswick']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__INTL_OSFI_REGULATED_FI	POSTAL_ZIP_CODE	C2 tag fails its format	ZIP: 0.3% of 343 sampled values fit; e.g. ['L6J 7Y5', 'H3H 2T8', 'M5H 1J9']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
FINANCE.FINANCE__INTL_OSFI_REGULATED_FI	POSTAL_ZIP_CODE	C2 catalog regex tag wrong	ZIP: 0.3% fit; e.g. ['L6J 7Y5', 'H3H 2T8', 'M5H 1J9']	moderate	retire the regex catalog; tag with the platform tagger
FINANCE.FINANCE__INTL_WB_IDS	COUNTRY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Afghanistan', 'Albania', 'Algeria']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINANCE.FINANCE__INTL_WB_IDS	COUNTERPART_AREA_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['World']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
FINDINGS.EXCLUDED_PROVIDER_AT_FACILITY	FACILITY_TYPE	C2 name tag holds something else	things, not names; org words 79.5%, people 0.0%; e.g. ['Hospital', 'Nursing home', 'Home health agency']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
GOVERNMENT_RECORDS.GOVERNMENT_RECORDS__FED_NARA_AAD	FIPS_GEO	C2 tag fails its format	FIPS: 0 of 554 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CDC_ANXIETY_DEPRESSION	STATE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CDC_ANXIETY_DEPRESSION	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY	STATE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['Colorado', 'Oregon', 'Connecticut']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['Colorado', 'Oregon', 'Connecticut']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CDC_DRUG_POISONING_COUNTY	FIPS_STATE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['8', '41', '9']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CDC_HEALTH_INSURANCE	STATE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CDC_HEALTH_INSURANCE	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CDC_INJURY_VIOLENCE_COUNTY	ST_NAME	C2 name tag holds something else	single words or codes; org words 0.1%, people 0.0%; e.g. ['Maine', 'Texas', 'Wyoming']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CDC_LEADING_CAUSES_STATE	STATE	C2 tag fails its format	STATE: 0.0% of 2000 sampled values fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CDC_LEADING_CAUSES_STATE	STATE	C2 catalog regex tag wrong	STATE: 0.0% fit; e.g. ['United States', 'Alabama', 'Alaska']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CDC_OVERDOSE	STATE_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Alaska', 'Alabama']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CDC_SUICIDE_RATES	STUB_NAME_NUM	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0', '2', '4']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CLINICALTRIALS	NPI	C2 tag fails its format	NPI: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_DIALYSIS	MORTALITY_RATE_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['17.9', '15.4', '12.8']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	HOSPITALIZATION_RATE_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['148.1', '126.2', '143.0']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	READMISSION_RATE_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['19.9', '30.9', '27.3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	TRANSFUSION_RATE_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['35.3', '17.1', '18.7']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	NUMBER_OF_PATIENTS_IN_THIS_FACILITY_FOR_FYSWR	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['28', '15', '12']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	STANDARDIZED_ED_VISITS_RATIO_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1.01', '0.32', '1.38']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	STANDARDIZED_ED_VISITS_WITHIN_30_DAYS_OF_HOSPITAL_DISCHARGE_RATIO_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0.66', '0.42', '1.54']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	SMOSR_CLASSIFICATION_CATEGORY_FACILITY	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['As Expected', 'Better than Expected', 'Not Available']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	SMOSR_NUMBER_OF_ELIGIBLE_PATIENTS_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['36', '25', '19']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	SMOSR_STANDARDIZED_MODALITY_SWITCH_RATIO_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['1.45', '1.53', '0.53']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	SMOSR_UPPER_CONFIDENCE_LIMIT_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3.39', '3.92', '2.98']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	SMOSR_LOWER_CONFIDENCE_LIMIT_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['0.47', '0.42', '0.01']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_DIALYSIS	FISTULA_RATE_FACILITY	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['53.6', '34.5', '68.6']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION	NAME_SUFFIX	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['III', 'JR.', 'I']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION	FACILITY_TYPE	C2 name tag holds something else	things, not names; org words 95.7%, people 0.0%; e.g. ['Hospital', 'Home health agency', 'Inpatient rehabilitation facility']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_FACILITY_AFFILIATION	FACILITY_TYPE_CERTIFICATION_NUMBER	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['451305', '240019', '441323']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY	FIPS_COUNTY_CODE	C2 tag fails its format	FIPS: 0.0% of 2000 sampled values fit; e.g. ['049', '061', '033']	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY	FIPS_COUNTY_CODE	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['049', '061', '033']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_FACILITY_LEVEL_MINIMUM_DATA_SET_FREQUENCY	COUNTY_NAME	C2 name tag holds something else	places; org words 0.0%, people 0.0%; e.g. ['Pacific', 'Snohomish', 'King']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HCRIS	CCN_FACILITY_TYPE	C2 catalog regex tag wrong	CCN: 0.0% fit; e.g. ['STH', 'RH', 'PH']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_HOSPICE	ADDRESS_LINE_2	C2 tag fails its format	ADDRESS: 0 of 2000 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	FACILITY_ID	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['02013F', '241381', '260113']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	COUNT_OF_FACILITY_MORT_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '5', '4']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	COUNT_OF_FACILITY_SAFETY_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['3', '1', '8']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	COUNT_OF_FACILITY_READM_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['5', '8', '6']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	COUNT_OF_FACILITY_PT_EXP_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['10', '15', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_COMPARE	COUNT_OF_FACILITY_TE_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['6', '8', '9']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL	COUNT_OF_FACILITY_MORT_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['4', '7', '3']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL	COUNT_OF_FACILITY_SAFETY_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['2', '7', '1']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL	COUNT_OF_FACILITY_READM_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['6', '7', '4']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL	COUNT_OF_FACILITY_PT_EXP_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['15', '10', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_HOSPITAL_GENERAL	COUNT_OF_FACILITY_TE_MEASURES	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['7', '9', '5']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_MAIN	NPI	C2 tag fails its format	NPI: 0 of 158 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_MAIN	FIPS	C2 tag fails its format	FIPS: 0 of 158 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_MAIN	ZIP	C2 tag fails its format	ZIP: 0 of 158 sampled rows filled	moderate	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_MARKETPLACE_PLAN_ATTRIBUTES_PUF	SOURCENAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['HIOS', 'SERFF']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_MEDICARE_DIABETES_PREVENTION_PROGRAM	NAME_OF_INITIATIVE	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['Medicare Diabetes Prevention Program (MDPP) Expanded Model']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_REFER	RFRG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['49', '29', '26']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_DURABLE_MEDICAL_EQUIPMENT_DEVICES_SUPPLIES_BY_SUPPL	SUPLR_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['48', '19', '18']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01', '02', '04']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_INPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_OUTPATIENT_HOSPITALS_BY_PROVIDER_AND_SERVICE	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['01']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['24', '17', '39']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_PHYSICIAN_OTHER_PRACTITIONERS_BY_PROVIDER_AND_SERVI	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['39', '17', '06']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_MEDICARE_PROVIDER	RNDRNG_PRVDR_STATE_FIPS	C2 catalog regex tag wrong	COUNTY_FIPS: 0.0% fit; e.g. ['42', '25', '06']	moderate	retire the regex catalog; tag with the platform tagger
HEALTH.HEALTH__FED_CMS_NPPES	REPLACEMENT_NPI	C2 tag fails its format	NPI: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_NPPES	EMPLOYER_IDENTIFICATION_NUMBER_EIN	C2 tag fails its format	EIN: 0 of 2000 sampled rows filled	severe	fix the rule in connect/keys.py or portal_recon/tag_portal_index.py, then re-tag
HEALTH.HEALTH__FED_CMS_NPPES	PROVIDER_NAME_PREFIX_TEXT	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['DR.', 'MRS.', 'MISS']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_NPPES	PROVIDER_NAME_SUFFIX_TEXT	C2 name tag holds something else	things, not names; org words 0.0%, people 0.0%; e.g. ['III', 'I', 'II']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_NPPES	PROVIDER_OTHER_ORGANIZATION_NAME	C2 name tag holds something else	single words or codes; org words 0.0%, people 0.0%; e.g. ['<UNAVAIL>']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
HEALTH.HEALTH__FED_CMS_NPPES	PROVIDER_OTHER_ORGANIZATION_NAME_TYPE_CODE	C2 name tag holds something else	numbers; org words 0.0%, people 0.0%; e.g. ['6']	minor	name keys only on columns holding organizations or people, graded PROBABILISTIC
