id_name,domain,dataset_name,url,access_shape,auth,size_class,confidence,evidence,fragmented,fragmented_exemplars,federal_aggregator,row_count_note,update_cadence_note,license_note,trap_note,critic_verdict,critic_note
EU Consolidated Financial Sanctions List reference number,"Financial Crimes, Sanctions & AML","EU Financial Sanctions Files (FSF) / Consolidated list of persons, groups and entities subject to EU financial sanctions",https://webgate.ec.europa.eu/fsd/fsf,bulk-file,none,medium,inferred,"""As part of the Common Foreign Security Policy the European Union publishes a sanctions list that is implemented by all member states."" Source data available at webgate.ec.europa.eu in XML format. (via OpenSanctions eu_fsf mirror page, which republishes the official EU source)",False,,,"15,947 total entities (4,407 people, 1,728 organizations, 2,117 addresses, 2 vessels) across 114 countries, 41 sanctions programs, per the mirror.",,,Could not directly load the official webgate.ec.europa.eu/fsd/fsf page this session (redirect loop); evidence is from a mirror (OpenSanctions) that names and links the same official XML source — worth a direct re-check before build.,downgraded,"Could NOT independently verify this session. Direct fetch of https://webgate.ec.europa.eu/fsd/fsf failed with 'Too many redirects (exceeded 10)' -- the site's session/cookie-based redirect chain is not automatable via WebFetch. A companion attempt to load the OpenSanctions mirror page (data.opensanctions.org/datasets/latest/eu_fsf/) that supposedly hosts the quoted evidence returned HTTP 403. A related EU Commission page confirms the link exists ('a consolidated list of financial sanctions' linking to webgate.ec.europa.eu/fsd/fsf#!/files) but doesn't describe access terms. I cannot confirm the quoted evidence is actually on the page it claims, nor confirm no-login bulk XML this session -- downgrading confidence from confirmed to inferred pending a manual (browser) check."
World Bank Group / multilateral development bank debarred firms and individuals list,"Financial Crimes, Sanctions & AML",World Bank Listing of Ineligible Firms and Individuals,https://projects.worldbank.org/en/projects-operations/procurement/debarred-firms,scrape-only,none,small,confirmed,"""The firms and individuals listed in Table 1 below are debarred and thus ineligible to participate in World Bank-financed contracts for the periods indicated.""",False,,,,,,"Page presents the list as an on-page HTML table (with a 'Grounds' column and a linked Notes PDF), not an obvious CSV/API download button on the loaded page itself. Separate multilateral development banks (IDB, etc.) each keep their own list — e.g. IDB's is at iadb.org/en/who-we-are/transparency/sanctions-system/sanctioned-firms-and-individuals — so 'MDB debarred list' is itself somewhat fragmented across institutions even though World Bank's is the flagship one.",upheld,"Loaded the page directly. Confirms 'Table 1: Debarred & Cross-Debarred Firms & Individuals' and the exact quoted sentence about ineligibility. It is search/view-only ('This list updates every 3 hours,' recommends using search box for entity names) -- no bulk export offered. Matches the claimed shape (scrape-only, auth none) exactly."
UCC-1 financing statement filing number (state Secretary of State),"Financial Crimes, Sanctions & AML",State Secretary of State UCC financing statement filing systems (Article 9 UCC filings),https://www.sos.ca.gov/business-programs/ucc/financing-statement,scrape-only,login,large,inferred,"""The Corporations Division's UCC database allows users to search and create reports on debtors and financing statements using any number of variables."" (search-result synthesis; a direct WebFetch of the CA bizfileonline UCC page returned only a placeholder title, not full content)",True,California Secretary of State (bizfileonline.sos.ca.gov); New York Department of State (dos.ny.gov/ucc-forms); Delaware Division of Corporations (icis.corp.delaware.gov),no,,,"Access model varies by state — e.g. Louisiana charges a $400/year subscription for unlimited UCC database use; Tennessee charges $15/debtor per filing search (per search synthesis, not independently loaded).",,,
EUID (European Unique Identifier),"Financial Crimes, Sanctions & AML",European Unique Identifier via the Business Registers Interconnection System (BRIS) / e-Justice Portal,https://e-justice.europa.eu/489/EN/business_registers__search_for_a_company_in_the_eu,scrape-only,none,large,inferred,"""The Business Registers Interconnection System (BRIS) connects the business registers of each Member State to a 'European Central Platform'."" (ec.europa.eu) and ""As of June 2017 the business registers of all EU countries have been interconnected and become searchable."" (e-justice.europa.eu)",True,Germany Handelsregister; France RNE/INPI registry; Netherlands KVK Handelsregister,partial,,,,"EUID isn't a bulk-downloadable dataset — it's a per-company identifier (country code + registry code + registration number) assigned by each national business register, only cross-searchable one company at a time through the e-Justice/BRIS portal. No single EU-wide bulk file confirmed; underlying source of truth is still 27 separate national registries.",downgraded,"Loaded the cited URL directly. It is a purely informational landing page -- confirms the quoted sentence ('As of June 2017 the business registers of all EU countries have been interconnected and become searchable') verbatim, but the word 'EUID' does not appear anywhere on this page, and no functional search interface is embedded there (it just links out to 'General information on find a company'). So the row's dataset label (EUID identifier) isn't actually evidenced by anything on this specific URL. Bigger caveat: BRIS federates many separate national business registers, and not all of them are free -- several EU member-state registries (e.g. France's Infogreffe, parts of Germany's Handelsregister) charge fees or gate full company extracts behind payment even though basic name search is free. 'auth: none' likely only holds for the basic cross-border search step, not for pulling full underlying documents in every member state. Downgrading confidence to inferred pending per-country verification."
NFA ID (National Futures Association registration number),"Financial Crimes, Sanctions & AML",NFA BASIC (Background Affiliation Status Information Center) registration lookup,https://www.nfa.futures.org/basicnet/,scrape-only,none,medium,inferred,"""BASIC is a free tool that Members and investors can use to research the background of derivatives industry professionals"" and ""BASIC contains Commodity Futures Trading Commission (CFTC) registration and NFA membership information"" (WebSearch synthesis of nfa.futures.org content; direct WebFetch of nfa.futures.org pages returned HTTP 403 on every attempt this session, including basicnet/ and the root site)",False,,,,,,"nfa.futures.org blocked WebFetch (403) on multiple URLs and multiple attempts — could not confirm page content directly, only via search-engine summaries. No bulk download found; BASIC appears to be a one-record-at-a-time search tool only.",,
ABA routing number / Federal Reserve E-Payments Routing Directory entry,"Financial Crimes, Sanctions & AML",Federal Reserve Banks' E-Payments Routing Directory,https://www.frbservices.org/resources/routing-number-directory,scrape-only,login,medium,confirmed,"""The Federal Reserve Banks' E-Payments Routing Directory provides basic routing information for Fedwire® Funds Service, Fedwire Securities Service, and FedACH® transactions.""",False,,,,,,"Per search synthesis of the FRB Services FAQ page: since Dec 9, 2018 the complete directory data file can only be bulk-downloaded via a FedLine Solution (bank-only secure access) — non-banking institutions can still search individual routing numbers on the public site but cannot bulk-download; a download code must be requested through a financial institution.",,
NYDFS BitLicense number,"Financial Crimes, Sanctions & AML",NYDFS-licensed virtual currency businesses (BitLicense / limited purpose trust charter holders),https://nyscrypto.com/guides/bitlicense-companies/,scrape-only,none,small,confirmed,"""Searchable list of New York DFS-licensed virtual currency entities: BitLicense and trust charters."" (nyscrypto.com, a third-party compilation)",False,,,,,,"Could not locate/load an official dfs.ny.gov page hosting a downloadable BitLicense holder list this session (guessed URLs returned 404); the confirmed evidence is a third-party directory, not the primary agency source. Per search synthesis, NYDFS has granted virtual currency licenses/charters to roughly 33 entities to date (unconfirmed against a loaded official page).",upheld,"Loaded the page directly. It is a live, functioning third-party page (nyscrypto.com) confirming the quoted description ('Searchable list of New York DFS-licensed virtual currency entities: BitLicense and trust charters'), last-checked-dated Sept 16 2025, no login wall. The first-pass row was already honest that this is a third-party compilation rather than an official NYDFS list -- that framing holds up; NYDFS itself does not appear to publish an easy bulk/scrape target under this URL, only this third-party mirror."
CBP Customs Broker License Number,"Financial Crimes, Sanctions & AML",CBP Permitted Customs Broker Listing,https://www.cbp.gov/about/contact/brokers-listing,scrape-only,none,small,inferred,"""CBP makes the Permitted Customs Broker Listing available to the public at https://www.cbp.gov/about/contact/brokers-listing and updates it quarterly."" (CBP CSMS bulletin #64484038, via content.govdelivery.com)",False,,,,"""updates it quarterly""",,"cbp.gov itself blocked WebFetch (403/CSS error) on every direct attempt this session; evidence comes from a CBP-issued CSMS bulletin about the page rather than the page itself. Data is pulled from brokers' National Permit records in CBP's ACE system, searchable by port of entry.",downgraded,"Could NOT independently verify this session. https://www.cbp.gov/about/contact/brokers-listing returned HTTP 403 to automated fetch on two separate attempts (direct fetch and via Google cache), and web.archive.org is not fetchable from this environment. cbp.gov is known to bot-block automated tools (matches the pattern already logged for other .gov sites blocking curl/non-browser agents). I cannot confirm the quoted CSMS bulletin text is real or that the page still looks as described -- treat as unverified this session; downgrading confidence from confirmed to inferred, though nothing found actively contradicts the claim either."
OpenOwnership Beneficial Ownership Data Standard (BODS) statement ID,"Financial Crimes, Sanctions & AML",Beneficial Ownership Data Standard (BODS) / Open Ownership Register,https://standard.openownership.org/,none-found,none,large,confirmed,"""The Beneficial Ownership Data Standard (BODS) is an open standard providing guidance for collecting, storing and exchanging high-quality data on beneficial ownership."" (openownership.org)",False,,,,,Open Ownership Register data offered under the Open Data Commons Attribution License per search synthesis (not independently confirmed via a loaded page).,"register.openownership.org and bods-data.openownership.org both returned 403/404 on direct WebFetch this session, so the Register's own download page (JSON/Excel export) was not directly confirmed — only the BODS standard descriptor page loaded cleanly. Statement ID is a schema-level field (globally unique per statement) documented in the BODS spec, not something visible on the descriptive page itself.",downgraded,"Loaded the cited URL directly. standard.openownership.org is documentation of the BODS SPECIFICATION ONLY (Primer, Data Standard, Examples nav sections) -- it confirms the quoted sentence verbatim, but there is no bulk data, no dataset, and no download link anywhere on this page. It is a schema/standard reference, not an access point to actual beneficial-ownership records. I then checked whether the real 'Open Ownership Register' (which used to be the bulk-downloadable dataset implied by the dataset_name) is still live: register.openownership.org now 301-redirects to a generic openownership.org marketing/topics page, and that redirect target itself 403'd on fetch; a further check of openownership.org's publications listing turned up no reference to a downloadable register or BODS dataset. This looks like the standalone bulk Open Ownership Register product may have been retired or restructured. For the specific URL in this row, access_shape should be corrected to none-found (it's spec docs, not a dataset) rather than bulk-file -- the actual register/bulk-file access point needs to be re-identified at a different URL if it still exists."
Interpol Notice Control Number,"Financial Crimes, Sanctions & AML",INTERPOL Red Notices (public extracts),https://www.interpol.int/en/How-we-work/Notices/View-Red-Notices,scrape-only,none,small,confirmed,"""Extracts of Red Notices are published at the request of the member country concerned and where the public's help may be needed to locate an individual or if the individual may pose a threat to public safety.""",False,,,,,,"Per search synthesis: ""the public list contains less than 5% of active Red Notices"" — most notices are police-only and never surface here, so this source structurally undercounts. Full disclosure of whether a name is on any notice requires a formal CCF (Commission for the Control of INTERPOL's Files) data access request, taking 3-6 months.",upheld,"Loaded the page directly. Confirms the quoted sentence verbatim about extracts being published at the request of the member country concerned. The search interface is live and reachable with no login, filterable by name/nationality/gender/age. Note: there's a terms-of-use line restricting commercial use ('cannot be used for any other purpose or any commercial purpose') -- a legal/licensing restriction, not a technical or auth barrier, so it doesn't change the access_shape/auth verdict. Also note the fetch snapshot showed 'Total number of public Red Notices in circulation: 0,' which is almost certainly a JS-rendering artifact of WebFetch's static conversion (the real site is a dynamic SPA) rather than evidence the database is actually empty."
OCCRP Aleph entity ID,"Financial Crimes, Sanctions & AML",OCCRP Aleph (cross-border leaked documents and corporate records search platform),https://aleph.occrp.org/,api-key,free-key,large,confirmed,"""Aleph is a data platform created and maintained by the Organized Crime and Corruption Reporting Project (OCCRP)."" (docs.aleph.occrp.org)",False,,,,,,"Programmatic access (alephclient) reads host + API key from the environment — most non-public/investigation datasets require an account and key; entity IDs are per-document/per-entity within a given dataset or investigation, found in the record's URL, not a single global registry.",,
OCC National Bank Charter Number,Corporate Registration & Beneficial Ownership,OCC Financial Institution Lists — National Banks by Name/State (charter number field),https://www.occ.treas.gov/topics/charters-and-licensing/financial-institution-lists/index-financial-institution-lists.html,bulk-file,none,small,confirmed,"""National Banks & Federal Branches and Agencies... Sorted by bank name: Excel and PDF formats"" — active national banks list; underlying PDF header row is ""CHARTER NO NAME ADDRESS (LOC) CITY STATE CERT RSSD""",False,,na,,,,,upheld,"Downloaded the actual PDF (national-by-name.pdf) directly, no login prompt at any point. Header row is exactly 'CHARTER NO NAME ADDRESS (LOC) CITY STATE CERT RSSD' as quoted, and the file is a live 12-page list of ~700+ active national banks/federal branches with charter numbers (e.g. charter 8709 = 1st National Bank), dated 'As of 6/30/2026'. Bulk-file, no-auth confirmed exactly as claimed."
NCUA Federal Credit Union Charter Number,Corporate Registration & Beneficial Ownership,NCUA Chartering and Mergers data (Research a Credit Union charter-number spreadsheets),https://ncua.gov/analysis/chartering-mergers,bulk-file,none,small,confirmed,"""Information in the spreadsheet includes the charter number, credit union name, event date, event type, and surviving charter number.""",False,,na,,,,,upheld,"Page confirmed live with the exact quoted text about the chartering-events spreadsheet including charter number, CU name, event date/type, and surviving charter number. One nuance: access is via the 'Research a Credit Union' tool, which emails you the Excel spreadsheet after you pick a year and enter an email address -- not an instant static-link download. No account/login is required, so auth:none still holds, but it's request-and-email delivery rather than a direct download link."
USPTO Trademark Serial Number / Registration Number,Corporate Registration & Beneficial Ownership,USPTO Trademark Bulk Data (Daily/XML files) + Trademark Case Files Dataset,https://www.uspto.gov/trademarks/trademark-updates-and-announcements/trademark-bulk-data-us-patent-and-trademark-office,bulk-file,none,large,inferred,"""The Trademark Case Files Dataset contains detailed information on 12.7 million trademark applications and registrations filed with the USPTO""",False,,na,12.7 million trademark applications/registrations (Case Files Dataset),,,Bulk XML/Daily files are free with no key; the separate TSDR API used for per-record retrieval requires an API key (60 req/min limit).,downgraded,"The cited URL (Trademark Bulk Data page) is real and does offer genuine free, no-login bulk downloads -- but only Daily/XML application files, assignment files, TTAB files, and TIFF/JPEG image files. It contains NO mention of '12.7 million trademark applications' or a 'Trademark Case Files Dataset' anywhere on the page. I tried 3 different guessed URLs for a standalone Case Files Dataset page (uspto.gov/ip-policy/economic-research/trademark-case-files-dataset, /learning-and-resources/electronic-data-products/trademark-case-files-dataset, /ip-policy/economic-research/datasets) and all returned 404. The dataset_name conflates two different things; the bulk-data half of the claim holds, the Case Files Dataset half and its quoted evidence could not be located live anywhere."
CMS PECOS PAC ID / Enrollment ID,Corporate Registration & Beneficial Ownership,CMS PECOS Medicare Fee-For-Service Public Provider Enrollment file,https://data.cms.gov/provider-characteristics/medicare-provider-supplier-enrollment/medicare-fee-for-service-public-provider-enrollment,bulk-file,none,large,inferred,"""CMS Provider Enrollment, Chain, and Ownership System (PECOS) publishes a monthly snapshot of providers actively enrolled in Medicare fee-for-service""; fields include ""PAC ID (CMS internal identifier)"" and ""Enrollment ID (CMS internal identifier)""",False,,na,approximately 1.1 million active enrollments,monthly snapshot,,,downgraded,"Could not independently verify the quoted evidence. data.cms.gov is a JS-rendered single-page app; six separate fetch attempts (the direct URL, the parent listing page, data.cms.gov/data.json catalog, the metastore API, the search API, and a guessed direct CSV path) all returned nothing but the bare page title 'Centers for Medicare & Medicaid Services Data' -- no dataset description, field list, or download link ever rendered. I have no evidence the claim is wrong, but I also could not confirm the PAC ID/Enrollment ID fields or the bulk download actually exist on that live page in this session -- leaving it unconfirmed rather than disproven."
FCC FRN (FCC Registration Number),Corporate Registration & Beneficial Ownership,FCC CORES (Commission Registration System) FRN registry,https://apps.fcc.gov/cores/publicHome.do,scrape-only,none,large,confirmed,"""Upon registration, you will be assigned a FCC Registration Number (FRN). This number will be used to uniquely identify you in all transactions with the FCC.""",False,,na,,,,"No bulk FRN-registry download found this session; ULS bulk data covers licenses, not the underlying CORES FRN registrant list itself.",upheld,"Confirmed at apps.fcc.gov/cores/publicHome.do: the page has a distinct 'Search for public FRN information' link (simpleSearch.do) separate from the login-gated 'Manage/Update Existing FRNs' and 'Register for New FRN' flows. So the claimed shape (scrape-only, auth:none) is correct -- you can look up existing FRNs publicly without logging in, though getting your OWN new FRN does require registering an account. Matches the claim as stated."
EU EUID (European Unique Identifier),Corporate Registration & Beneficial Ownership,EU Business Registers Interconnection System (BRIS) — EUID-tagged company records,https://ec.europa.eu/digital-building-blocks/sites/spaces/DIGITAL/blog/2017/09/19/533365899/Business+Register+Interconnection+System+BRIS,scrape-only,none,large,confirmed,"""BRIS provides a single point of access via the European e-Justice Portal, through which citizens, businesses and public administrations can search for information on companies""... ""keeping the information on approximately 20 million limited liability companies up-to-date""",True,Germany Handelsregister; France RNE/Infogreffe; Ireland Companies Registration Office,partial,~20 million limited liability companies referenced via BRIS,,,"BRIS is a federated real-time search layer, not a bulk EU-wide download — underlying data and access cost still sit with each national register.",upheld,"Fetched the exact cited URL and both quotes matched verbatim: 'BRIS provides a single point of access via the European e-Justice Portal...' and 'BRIS exchanges over 20 thousand messages per day keeping the information on approximately 20 million limited liability companies up-to-date.' Page live, no login wall encountered."
ISIN (International Securities Identification Number),Corporate Registration & Beneficial Ownership,ISIN registry (national numbering agencies via ANNA) / GLEIF ISIN-to-LEI relationship files,https://www.gleif.org/en/lei-data/lei-mapping/download-isin-to-lei-relationship-files,api-key,paid,large,confirmed,"""GLEIF does not provide the ISIN data itself—only the file showing which ISINs correspond to which LEIs""; ""The daily ISIN-to-LEI relationship files, which are publicly available on the GLEIF website, currently include new ISINs issued by early mover national numbering agencies""",False,,na,,,,Only a free partial ISIN-to-LEI mapping subset is open; the full canonical ISIN master database is paid via ANNA Service Bureau/Bloomberg. ANNA also runs a separate free single-lookup service (not independently verified this session).,,
FIGI (Financial Instrument Global Identifier),Corporate Registration & Beneficial Ownership,OpenFIGI (Financial Instrument Global Identifier) mapping service,https://www.openfigi.com/api/documentation,api-open,none,large,confirmed,"""The API is free and open to the public, though unauthenticated traffic will be subject to a lower rate-limit."" Rate limits: 25 mapping requests/minute unauthenticated vs 25 per 6 seconds with a free API key.",False,,na,,,MIT Open Source license per search summary; free API key raises rate limits (25/6s vs 25/min unauthenticated).,,upheld,"Confirmed at the cited URL: 'The API is free and open to the public, though unauthenticated traffic will be subject to a lower rate-limit' -- exact quote match. Rate limits confirmed: 25 requests/minute unauthenticated vs 25 per 6 seconds with a free API key for the Mapping API. Matches claim exactly."
NAIC Company Code (insurance company identifier),Corporate Registration & Beneficial Ownership,NAIC Consumer Insurance Search (CIS) company lookup,https://content.naic.org/cis_refined_results.htm,scrape-only,none,medium,inferred,"""Your search matched the companies displayed below. Please be aware that an insurance company may have different subsidiaries with different names."" (confirms a live company-search tool; did not find an explicit 'company code' field label in the rendered excerpt)",False,,na,,,,"Full NAIC financial/company-code database products (I-Site, SERFF) are understood to be paid/subscriber tools — not independently verified this session.",,
NFA ID (National Futures Association),Corporate Registration & Beneficial Ownership,NFA BASIC (Background Affiliation Status Information Center) registrant search,https://www.nfa.org/basicnet/,scrape-only,none,medium,inferred,"WebFetch to nfa.org/basicnet/ failed to return content on repeated attempts this session; NFA ID / BASIC system is well-documented elsewhere as NFA's free registrant lookup tool, but not directly confirmed via a loaded page this session.",False,,na,,,,,,
"SEC Commission File Number (""SEC File Number"")",Corporate Registration & Beneficial Ownership,SEC EDGAR company search — SEC/Commission File Number field,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany,api-open,none,large,inferred,"sec.gov returned HTTP 403 to WebFetch on every attempt this session (EDGAR company search, data.sec.gov submissions JSON, edgar/search-and-access all blocked); SEC File Number as an EDGAR company-search field (format like 001-xxxxx) is well-established but not directly confirmed via a loaded page this session.",False,,na,,,,,,
IRS Group Exemption Number (GEN),Corporate Registration & Beneficial Ownership,IRS Exempt Organizations Business Master File (EO BMF) Extract,https://www.irs.gov/charities-non-profits/exempt-organizations-business-master-file-extract-eo-bmf,bulk-file,none,large,inferred,"""The files are available in comma separated value (CSV) format."" (confirms free bulk CSV extract exists; the rendered excerpt did not explicitly show a Group Exemption Number/GEN field)",False,,na,,,,GEN field presence not directly confirmed in the rendered page excerpt this session — check the EO BMF record-layout PDF before treating GEN as populated.,,
FARA Registration Number,Corporate Registration & Beneficial Ownership,DOJ FARA e-File registrant/filing database,https://efile.fara.gov/ords/fara/f?p=1381:1,scrape-only,none,small,confirmed,"""This is the Foreign Agents Registration Act (FARA) Browse Filings portal, operated by the U.S. Department of Justice"", offering views by ""active registrants, new registrants by date range, foreign principals""",False,,na,,,,No explicit bulk-export feature found on this page — appears to be browse/query-only (built on Oracle APEX).,upheld,"Confirmed live DOJ FARA e-File browse portal at the cited URL. No login indicated for browsing filings. Confirmed the described categories: active/terminated registrants filterable by date range, short-form registrants, and active/terminated foreign principals by country. Matches claim."
Lobbying Disclosure Act Registrant ID (House ID / Senate ID),Corporate Registration & Beneficial Ownership,Lobbying Disclosure Act Database (lda.gov) — Registrant/Client/Lobbyist ID API,https://lda.gov/api/,api-key,free-key,medium,confirmed,"""A researcher who is interested in downloading the lobbying documents database may do so by utilizing our REST API."" / ""Register for API Key""",False,,na,,,,"Per Ripple's own prior sweep (API Key Blockers memory note), this API is key-gated for bulk pulls — a short signup is required before ingest.",,
FMCSA MC Number (Motor Carrier Number / Operating Authority),Corporate Registration & Beneficial Ownership,FMCSA SAFER Company Snapshot (MC/MX Number lookup),https://safer.fmcsa.dot.gov/CompanySnapshot.aspx,scrape-only,none,large,confirmed,"""The Company Snapshot is a concise electronic record of a company's identification, size, commodity information, and safety record"" and lists ""MC/MX Number"" among the returned fields",False,,na,,,,FMCSA's separate bulk 'Data Dissemination Program' page (linked from ai.fmcsa.dot.gov/SMS/Tools/Downloads.aspx) returned blocked/empty content this session — not independently confirmed.,upheld,"Confirmed at safer.fmcsa.dot.gov: 'The Company Snapshot is available via an ad-hoc query (one carrier at a time) free of charge,' searchable by DOT Number, MC/MX Number, or Company Name, returning identification, size, commodity info, and safety record. No login required. Matches claim (scrape-only, auth:none)."
UK Companies House PSC (Persons with Significant Control) Reference,Corporate Registration & Beneficial Ownership,Companies House Persons with Significant Control (PSC) Snapshot,https://download.companieshouse.gov.uk/en_pscdata.html,bulk-file,none,large,confirmed,"""The People with significant control (PSC) snapshot is a downloadable data snapshot containing the full list of PSC's provided to Companies House. Each data file is provided in JSON format""",False,,na,,"""The latest snapshot will be updated every morning before 10am GMT.""","""This snapshot is provided free of charge and will not be supported.""",,upheld,"Confirmed live at the cited URL with the exact quoted text, plus saw the actual current file names (e.g. persons-with-significant-control-snapshot-2026-08-05.zip and a 32-part split option), each 19-69MB, updated daily before 10am GMT, explicitly 'provided free of charge.' No login. Matches claim exactly."
EU VAT Identification Number,Corporate Registration & Beneficial Ownership,VIES (VAT Information Exchange System),https://ec.europa.eu/taxation_customs/vies/,api-open,none,large,inferred,"WebFetch returned only the page title ""Vies on-the-Web - European Commission"" with no body text on repeated attempts; VIES is documented elsewhere as a real-time single-VAT-number validation service checked against national tax-authority registries, not a bulk EU-wide dataset — not directly confirmed via loaded body content this session.",True,Germany Bundeszentralamt für Steuern; France DGFiP; Ireland Revenue,partial,,,,,,
ICIJ Offshore Leaks Database (Panama/Paradise/Pandora/Bahamas Papers) entity & beneficial-owner records,Corporate Registration & Beneficial Ownership,"ICIJ Offshore Leaks Database (Offshore Leaks, Panama Papers, Bahamas Leaks, Paradise Papers, Pandora Papers)",https://offshoreleaks.icij.org/pages/database,bulk-file,none,large,confirmed,"""more than 810,000 offshore entities"" across ""Offshore Leaks (2013), Panama Papers (2016), Bahamas Leaks (2016), Paradise Papers (2017), and Pandora Papers (2021)""; ""converted our original database into several CSV files, one per type of node and one for all the relationships""",False,,na,"more than 810,000 offshore entities across 200+ countries/territories",,"""licensed under the Open Database License"" / contents under Creative Commons Attribution-ShareAlike; must cite ICIJ when using the data",,upheld,"Confirmed at offshoreleaks.icij.org: '810,000 offshore companies, foundations and trusts' across the named investigations, licensed under Open Database License / CC-BY-SA, with a direct downloadable CSV zip and the phrase 'We've made this data freely available.' No login required. Matches claim."
"SBA Small Business Certification Number (8(a), HUBZone, WOSB/EDWOSB, VOSB/SDVOSB)",Corporate Registration & Beneficial Ownership,SBA Certifications Search (certify.sba.gov / Dynamic Small Business Search successor),https://search.certifications.sba.gov/,scrape-only,none,medium,inferred,"dsbs.sba.gov redirected (301) to search.certifications.sba.gov; the loaded page rendered only the title ""SBA Small Business Search"" with no body text confirming certification-number field structure this session.",False,,na,,,,,,
BIS Entity List / Denied Persons List / Unverified List,Corporate Registration & Beneficial Ownership,"Consolidated Screening List (CSL) — includes BIS Entity List, Denied Persons List, Unverified List",https://www.trade.gov/consolidated-screening-list,bulk-file,none,medium,confirmed,"""The Consolidated Screening List (CSL) is a list of parties for which the United States Government maintains restrictions on certain exports, reexports, or transfers of items""; includes ""BIS Denied Persons List"", ""BIS Entity List"", ""BIS Unverified List""; ""Downloadable files in multiple formats: CSV Download, TSV Download (ASCII encoded), and JSON""",False,,na,,"""updated automatically every day at 5:00 AM EST/EDT""",,,upheld,"Confirmed at trade.gov/consolidated-screening-list: page names Denied Persons List, Unverified List, and Entity List, with live direct-download links to data.trade.gov/downloadable_consolidated_screening_list/v1/consolidated.{csv,tsv,json}. No login required. Matches claim exactly."
UN Security Council Consolidated List Reference Number,Corporate Registration & Beneficial Ownership,UN Security Council Consolidated Sanctions List,https://main.un.org/securitycouncil/content/un-sc-consolidated-list,bulk-file,none,medium,confirmed,"Sample entry ""QDi.371 Name: 1: ABD AL-BASET 2: AZZOUZ...""; reference numbers follow prefixed sequential patterns such as ""QDi"" (Al-Qaeda individual), ""TAi"" (Taliban individual), ""SOi"" (Somalia), ""CFi"" (Central African Republic)",False,,na,,,,,upheld,"The exact cited URL (main.un.org) 403'd on automated fetch (looks like bot-blocking, not a dead resource), but I traced the real consolidated-list infrastructure via scsanctions.un.org/consolidated/, which 302-redirected to a live, freely accessible Azure-hosted HTML file (consolidatedLegacyByNAME.html, generated 2026-08-04) containing the exact quoted sample entry -- QDi.371, described as a 'Key operative in Al-Qaida (QDe.004)' -- plus confirmed prefixes QDi/TAi/SOi/CFi and others (YEi, IRi, IQi, LYi). No login anywhere in the chain. The list is genuinely live and free; only the specific landing URL cited is unfriendly to non-browser fetches."
World Bank / Multilateral Development Bank Cross-Debarment List Entry,Corporate Registration & Beneficial Ownership,World Bank Listing of Ineligible Firms & Individuals (cross-debarred under 2010 Mutual Enforcement Agreement),https://www.worldbank.org/en/projects-operations/procurement/debarred-firms,scrape-only,none,small,confirmed,"""cross-debarment in accordance with the Agreement for Mutual Enforcement of Debarment Decisions dated 9 April 2010, which, as of July 1, 2011, has been made effective by the World Bank, Asian Development Bank, European Bank for Reconstruction and Development, Inter-American Development Bank, and African Development Bank""",False,,na,,"""This list updates every 3 hours""",,"Cross-debarment explicitly excludes certain countries (Brazil, Bulgaria, Eritrea, Kazakhstan, Kenya, Serbia) 'for certain circumstances' per the page — no direct bulk-download link found this session, list appears to be live-search only.",upheld,"Confirmed at worldbank.org/en/projects-operations/procurement/debarred-firms: exact quote match on the 2010 Mutual Enforcement Agreement language and the five participating MDBs. Confirmed it's a searchable table (updates every 3 hours) with no bulk download offered and no login required -- consistent with the claimed 'scrape-only, auth:none' shape."
OpenSanctions Entity ID,Corporate Registration & Beneficial Ownership,OpenSanctions Default dataset (entity ID scheme: NK-IDs / Q-IDs),https://www.opensanctions.org/docs/identifiers/,bulk-file,none,large,confirmed,"""NK-IDs: randomly generated unique identifiers assigned during deduplication"" and ""Q-IDs: Wikidata identifiers... used when a matching Wikidata entry exists""; ""OpenSanctions is free for non-commercial users.""",False,,na,,,"Free for non-commercial users; ""Businesses must acquire a data license to use the dataset"" for commercial screening/reseller use.",,upheld,"Confirmed at opensanctions.org/docs/identifiers/: exact quote match on NK-IDs and Q-IDs, and 'OpenSanctions is free for non-commercial users. Businesses must acquire a data license to use the dataset.' Checked the licensing page too: 'All of it is open for download... under Creative Commons 4.0 Attribution NonCommercial,' with an explicit non-commercial exemption link. No account/API key required to download for non-commercial use. Matches claim."
UCC-1 Financing Statement / Filing Number,Corporate Registration & Beneficial Ownership,State UCC filing search systems (Delaware Division of Corporations exemplar — state-fragmented),https://icis.corp.delaware.gov/Ecorp/EntitySearch/NameSearch.aspx,scrape-only,none,unknown,inferred,"Delaware's dedicated UCC search subpage (UCCSearch.aspx) returned 404 this session; the general Delaware entity-search page loaded successfully and confirmed a live corporate filing search returning ""entity name, file number, incorporation/formation date, registered agent name, address, phone number and residency"" — UCC-specific confirmation not obtained this session.",True,Delaware Division of Corporations UCC search (icis.corp.delaware.gov); California SOS UCC search (bizfileonline.sos.ca.gov); New York Dept of State UCC search (dos.ny.gov/ucc),no,,,,,,
